from,to,w
0,1,1.9878284647824371
0,2,1.2190090362856005
0,3,1.2352456976253716
0,4,2.043608901141685
0,5,1.2342681493274776
0,6,2.3277898060392235
0,7,2.137310102220173
0,8,1.4117810025876274
0,10,1.1868225276539581
0,14,4.692731450352326
0,33,7.648549065540006
0,42,1.222803054708191
0,90,2.088675410446627
0,172,1
0,291,1
0,306,1
0,577,1
0,651,1
0,679,1
0,712,1
0,795,1
0,1005,1
0,1110,1
0,1202,1
0,1331,1
0,1487,1
0,1584,1
0,1645,1
0,3358,1
0,3434,1
0,3436,1
0,3615,1
0,4614,1
0,5385,1
0,5557,1
1,0,1.0665476880211477
1,2,1.0495987084985507
1,3,1.0683183361553095
1,4,1.1018228703137267
1,5,1.0506487015821802
1,6,1.1034691022311367
1,7,1.0527123072182736
1,8,1.0511113667655838
1,22,1
1,24,1
1,33,1.582672859399766
1,47,1.1579127414864605
1,88,1
1,135,1
1,150,1.0190873659698105
1,181,1.0158389316478664
1,185,1.0305396127630622
1,227,1.0384818271857557
1,540,1
1,614,1.0106694261096465
1,1921,1
1,1995,1
1,2317,1
1,3319,1
1,3502,1
2,0,1.5164685448178477
2,1,2.64912685247646
2,3,4.930639444660672
2,4,4.465292239546153
2,5,4.51355509095594
2,6,3.9742466696817584
2,7,2.5538384185466594
2,8,2.627153511031939
2,17,1
2,23,7.658820409113184
2,30,10.557521113255211
2,80,1
2,97,1
2,100,1
2,108,1.4866675755488417
2,257,1
2,388,1
2,391,1
2,515,1
2,519,1
2,522,1
2,643,1
2,652,1.7866059350719325
2,657,1
2,813,1
2,892,1
2,959,1
2,965,1
2,1237,1
2,1504,1
2,1533,1
2,1540,1
2,1583,1
2,1598,1
2,1673,1
2,1757,1
2,1811,1
2,1849,1
2,1926,1
2,1932,1
2,2119,1
2,2161,1
2,2403,1
2,2414,1
2,2726,1
2,2777,1
2,3246,1
2,3502,1
2,3649,1
2,3712,1
2,4103,1
2,4206,1
2,5064,1
2,5167,1
2,5213,1
2,5743,1
3,0,1.3571018952803426
3,1,2.4851002846233436
3,2,3.6919774607801488
3,4,3.337944452965196
3,5,2.79346100957442
3,6,5.157904187523371
3,7,4.294285345555634
3,8,2.060257383198628
3,12,7.909560862267959
3,25,4.215084541666956
3,64,1.2170168554540117
3,82,2.1230125043937105
3,95,1.32826528392608
3,99,1.2500004793261794
3,128,1
3,218,1
3,236,1.3024053217752667
3,246,1
3,262,2.368295225043791
3,389,1
3,437,1
3,548,1
3,566,1
3,643,1
3,765,1
3,889,1
3,912,1
3,1049,1
3,1096,1
3,1337,1
3,1408,1.3713000697247586
3,1726,1
3,1755,1
3,1786,1.2419242574202134
3,1876,1
3,2052,1.4186746967998627
3,2496,1
3,2721,1
3,2965,1
3,3543,1
3,3979,1
3,4089,1
3,4432,1
3,4442,1
3,4835,1
3,5482,1
3,5736,1
4,0,1.6095206801544508
4,1,1.9074233792282131
4,2,1.8802760672757068
4,3,1.912054116775085
4,5,1.778418980461417
4,6,1.7583664146758322
4,7,2.2430614216119213
4,8,1.6068039131462415
4,51,1.7951897016231888
4,53,1.4623710591099992
4,80,1
4,81,1.1248119260424496
4,95,1
4,257,1
4,263,1.4527675000232614
4,268,1.122540307965863
4,321,1
4,433,1
4,445,1.126207349628268
4,584,1
4,721,1
4,969,1
4,1019,1
4,1519,1
4,1670,1
4,1786,1
4,2372,1
4,2864,1
4,3742,1
4,3874,1
4,3937,1
4,4480,1
4,5010,1
4,5137,1
4,5530,1
5,0,1.0455325142282241
5,1,1.1503831356383214
5,2,1.2929586658726766
5,3,1.2220884697339405
5,4,1.2543042601926544
5,6,1.2477485762490275
5,7,1.1791890921309098
5,8,1.1365693327949853
5,10,1.1149264667243626
5,14,1.6673360681406688
5,72,1.4632172356142286
5,81,1
5,89,1
5,99,1.028776325741876
5,101,1.5510760402527137
5,103,1
5,113,1.466433535795675
5,114,1.0602928598772534
5,137,1
5,141,1.0440520814881982
5,277,1.0192727856510866
5,311,1
5,317,1
5,332,1
5,334,1
5,404,1.0534561791099688
5,406,1
5,760,1
5,1018,1
5,1269,1
5,1801,1
5,1896,1
5,2302,1
5,2354,1
5,3717,1
5,4080,1
5,4185,1
5,4306,1
5,4413,1
5,5569,1
6,0,1.4124842819722692
6,1,1.4666932915734305
6,2,1.386261473880569
6,3,1.7325767033011894
6,4,1.3737931011050306
6,5,1.3840593472818798
6,7,1.9105358203779967
6,8,1.2491549380677043
6,10,1.2759479284693447
6,11,2.2152144852490006
6,67,1.7340999128860077
6,80,1
6,105,2.1340219958937547
6,227,1.1282735110820246
6,514,1
6,681,1
6,785,1
6,1176,1
6,1425,1
6,1463,1
6,2152,1
6,2249,1
6,2428,1
6,3055,1
6,3445,1
7,0,3.294818169649368
7,1,2.4300715975409664
7,2,2.2429493369807956
7,3,5.037562872308504
7,4,5.028976551882703
7,5,2.697210346601196
7,6,7.048147467245468
7,8,3.2717657841868903
7,17,1
7,66,9.820180761611047
7,92,1
7,136,1
7,138,1.6899219177558222
7,177,1
7,205,2.0636659164874787
7,211,1
7,229,1
7,288,1.9357112180874267
7,299,1
7,316,1.3857808516430528
7,347,1
7,389,1
7,424,1.433572436394038
7,497,1.3470025469531632
7,691,1
7,714,1
7,763,1
7,808,1
7,827,1
7,931,1
7,954,1
7,971,1.5710712238333593
7,975,1
7,1015,1
7,1079,1
7,1085,1
7,1101,1
7,1141,1
7,1355,1
7,1404,1
7,1535,1
7,1555,1
7,1641,1
7,1742,1
7,1956,1
7,2014,1
7,2050,1.313353540415785
7,2226,1
7,2747,1
7,2832,1
7,3205,1
7,3375,1
7,3425,1
7,3496,1
7,3501,1
7,3910,1
7,4070,1.4195029353934208
7,4082,1
7,4772,1
7,4884,1
7,5135,1
7,5382,1
7,5612,1
7,5649,1
7,5891,1
8,0,1.3802229516476008
8,1,1.6547357686492616
8,2,1.5493655372642219
8,3,1.5998845258169103
8,4,1.8392318516369484
8,5,1.5718693506098
8,6,1.6567249453397586
8,7,2.0260449484670087
8,12,2.9222132338661284
8,36,1
8,123,1
8,139,1
8,153,1
8,203,1
8,227,1.4850620197352429
8,311,1
8,326,1
8,428,1.1003885786824124
8,1122,1
8,1331,1
8,2194,1
8,4098,1
8,4457,1
8,4844,1
8,5260,1
8,5411,1
8,5418,1
9,0,1
10,3,2.5101335190136576
10,4,2.335144755674731
10,7,2.91207731365325
10,8,1.4130790204506343
10,53,1.5826827706539177
10,59,1
10,70,1.297982025500761
10,113,2.946477712952807
10,135,1.5099957109656998
10,214,1
10,244,1
10,262,1
10,301,1
10,313,1
10,405,1
10,429,1
10,443,1
10,515,1.380495886333354
10,552,1
10,596,1
10,892,1
10,912,1
10,913,1
10,953,1
10,2236,1
10,2299,1
10,2722,1
10,2753,1
10,2900,1
10,2947,1
10,3325,1
10,3554,1
10,3601,1
10,3707,1
10,4339,1
10,4519,1
10,5970,1
11,7,3.083263236506071
11,0,2.151180847670051
11,18,3.081793596620801
11,58,1.117184645927173
11,73,1.5603849155272398
11,177,1
11,178,1
11,262,1.6866251410250768
11,1187,1
11,1297,1
11,1668,1
11,1813,1
11,1938,1
11,2026,1
11,2890,1
11,3272,1
11,4226,1
11,4773,1
11,5276,1
11,5340,1
12,6,7.577483299185608
12,7,7.010966508941682
12,0,4.655568265235794
12,131,1
12,161,3.0592001046396535
12,176,1.5992339140479062
12,178,1.3607225533322587
12,192,1.2174795977912811
12,238,4.8090449004254525
12,403,3.263325008406873
12,404,2.1360496653955563
12,444,6.486058522521081
12,577,1.541452697533416
12,610,1
12,667,1.3600226267608755
12,698,1.936233832721828
12,719,1.1802553222573064
12,753,1
12,779,1.5411672287107745
12,854,1.2718494972391015
12,920,1
12,968,1
12,988,1
12,1169,1.1617146216387633
12,1176,1.6226080183331004
12,1214,1
12,1258,1
12,1609,1
12,1611,1.2265412476992512
12,1653,1
12,1716,1
12,1740,1.561284403662003
12,1745,1.2718494972391015
12,1764,1
12,1839,1
12,1901,1.2471359065810013
12,2106,1
12,2151,1
12,2192,1
12,2363,1
12,2416,1
12,2447,1
12,2509,1
12,3020,1
12,3140,1
12,3194,1
12,3228,1
12,3344,1.181232998159401
12,3414,1
12,3564,1
12,3778,1
12,3795,1
12,3862,1
12,3903,1
12,3956,1
12,3979,1
12,4010,1
12,4183,1
12,4472,1
12,4569,1
12,4633,1
12,4643,1
12,4930,1
12,4937,1
12,5231,1
12,5237,1
12,5252,1
12,5365,1
12,5626,1
12,5732,1
12,5795,1
12,5892,1
13,8,1
13,60,1
14,7,1.2903565995162003
14,4,1.2942880719941317
14,8,1.0841271928748095
14,39,1
14,42,1.0270319646113086
14,257,1.0724092814840123
14,929,1
14,1623,1.0203508649191104
15,1,1
15,14,1
16,4,1
17,1,1
17,11,1
17,0,1
17,6,1.0003273421752876
17,26,1.0001292600543958
17,37,1
17,112,1
17,121,1
17,132,1
17,142,1
17,412,1
17,1805,1
17,4772,1
18,14,1.4652982478097325
18,12,1.5188241738492458
18,0,1.1754706318980543
18,30,1.844600740438731
18,64,1.0384471052549582
18,101,1.4322584506939957
18,106,1.0251162920734143
18,185,1.0250175928599758
18,213,1.4479534628029311
18,243,1
18,314,1.045780300202255
18,408,1
18,457,1
18,535,1
18,706,1.064542100508989
18,788,1.0245489326807016
18,898,1
18,987,1
18,1252,1
18,1944,1
18,2027,1
18,2172,1
18,2317,1
18,2404,1
18,2541,1
18,2609,1
18,3956,1
18,4195,1
18,4308,1
18,4592,1
18,5719,1
18,5731,1
19,7,1
20,3,1
20,60,1
21,3,1
22,8,1
22,11,1
22,14,1
23,7,1.2933412963095674
23,10,1.118919373613538
23,28,1
23,30,3.4305572359689998
23,37,1.418863781278748
23,47,3.7407417566478913
23,52,1.4067980810696925
23,59,1.0284067443116753
23,70,1.1332888238477585
23,72,2.656659226291731
23,82,1.4238014456550327
23,85,1.1347696626754824
23,94,1.272074577259088
23,96,1.015744570137105
23,122,1.062278090292329
23,135,1.0948065691407718
23,165,1.2033555191702447
23,171,1.0206430433739915
23,197,1.0628212977194953
23,229,1.0130653288514186
23,288,1.180707189599573
23,289,1.1132715298731626
23,341,1.414265049939176
23,349,1.0218377639373712
23,363,1.0354879364655514
23,407,1
23,452,1
23,502,1
23,585,1.1008998897053277
23,598,1.0180795894383805
23,611,1.1140146430516384
23,679,1
23,751,1
23,757,1
23,760,1
23,796,1.0145585092915808
23,804,1
23,859,1.0300724030242512
23,873,1
23,891,1
23,901,1
23,909,1.0921513597263108
23,983,1.0144793681248188
23,1010,1.0130386838701129
23,1063,1.017672874054209
23,1155,1
23,1188,1.0275636311432483
23,1201,1
23,1207,1
23,1321,1
23,1330,1.027863083044634
23,1335,1
23,1383,1
23,1413,1
23,1422,1.0135879420054754
23,1447,1
23,1448,1
23,1512,1.0141520773061221
23,1523,1
23,1543,1
23,1624,1
23,1681,1
23,1784,1
23,1799,1.0150977133394172
23,1806,1.0169849275068443
23,1811,1.0541935300419254
23,1827,1.0113232850045628
23,1896,1
23,1956,1.012352674550432
23,1963,1
23,2014,1
23,2055,1
23,2078,1.0499238690688264
23,2099,1.0419346717115798
23,2103,1
23,2112,1
23,2167,1.038037420239404
23,2196,1
23,2204,1
23,2244,1
23,2288,1
23,2309,1.0522867824205486
