nid,Is,Os,S,V,D
0,89.49277336027427,52.436422668710705,141.92919602898496,0.3922265686512071,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
1,86.60859402363744,26.399431845348275,113.00802586898571,0.02876328246231885,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
2,106.88658800932987,92.71993580470661,199.60652381403648,0.851668257210473,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
3,118.12634177221047,78.92357211729988,197.04991388951035,0.6048106435505333,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
4,118.28553322633603,43.7798128177219,162.06534604405792,0.26598329896336936,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
5,86.01210915697283,43.997613625236774,130.0097227822096,0.07709114260434669,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
6,153.19917308454376,32.40311679114021,185.60228987568397,0.13842503867501865,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
7,167.9971146162474,102.0312654749705,270.02838009121785,0.7833838510394623,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
8,64.30549561913813,34.7857437117153,99.09123933085343,0.3513600253884436,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
9,0,1,1,0.8397268139520907,"[1, 1, 1, 1, 0, 0, 1, 0, 1, 1]"
10,54.31953136650151,45.88806871519881,100.20760008170032,0.6479457839881793,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 0]"
11,122.23809041125334,26.68043238327641,148.91852279452974,0.3798311861361462,"[1, 1, 0, 0, 0, 0, 0, 1, 1, 1]"
12,563.7879275998058,109.27848023845908,673.0664078382649,0.5436989944782027,"[1, 0, 0, 1, 1, 0, 0, 1, 0, 1]"
13,2,2,4,0.04867179054681317,"[1, 1, 1, 1, 0, 1, 0, 0, 1, 0]"
14,246.93470758841556,8.788563975399573,255.72327156381513,0.04748535147792446,"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1]"
15,0,2,2,0.07328149166662318,"[1, 1, 1, 0, 1, 0, 1, 0, 0, 0]"
16,0,1,1,0.02080068684020983,"[0, 0, 1, 0, 0, 1, 0, 0, 1, 1]"
17,9,13.000456602229683,22.000456602229683,0.00015614349432716002,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0]"
18,135.6881069958593,35.107858031072986,170.7959650269323,0.04654577217790937,"[1, 1, 1, 0, 0, 0, 1, 1, 0, 0]"
19,0,1,1,0.013581494350680096,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 1]"
20,0,2,2,0.001847890045969941,"[0, 0, 0, 1, 0, 1, 1, 1, 1, 0]"
21,0,1,1,0.07844497551636759,"[0, 1, 0, 1, 0, 1, 1, 1, 0, 1]"
22,7,3,10,0.06786913520625876,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 1]"
23,605.4907809861292,146.20280028654082,751.6935812726699,0.033969855013688544,"[0, 0, 1, 1, 1, 0, 1, 1, 0, 1]"
24,11.207802262454246,14.093822123197805,25.30162438565205,0.03519614786633479,"[0, 1, 1, 0, 1, 0, 0, 0, 1, 1]"
25,217.1833284438294,15.565036442802938,232.74836488663234,0.024759264310291434,"[1, 0, 0, 0, 1, 1, 0, 1, 0, 1]"
26,96.23256935861511,12.346752641679604,108.57932200029471,0.06585388823797772,"[1, 1, 0, 0, 0, 1, 1, 1, 1, 0]"
27,0,1,1,0.04813601046904342,"[0, 0, 0, 1, 1, 0, 1, 1, 0, 0]"
28,3,6,9,0.006687914169937442,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 1]"
29,0,8.05942410272403,8.05942410272403,0.09961394996609357,"[1, 0, 1, 1, 0, 1, 0, 0, 1, 0]"
