from,to,w
0,1,6.457970240389009
0,2,1.5733260412277548
0,3,7.394723539234278
0,4,2.9497476970722887
0,5,4.245612700123346
0,6,3.195681697080351
0,7,2.473729813464411
0,8,1.2797851993450169
0,26,1.7637768892499204
0,34,4.520265188786667
0,38,16.675508795335926
0,114,1.3936133067807979
0,125,3.2884729078625754
0,161,1.1850140396584061
0,168,3.598701845479603
0,363,1.9074802412599938
0,390,1
0,515,1
0,750,1
0,956,1
0,1496,1
0,1599,1
0,1691,1
0,1730,1
0,1802,1
0,2004,1
0,2352,1
0,2412,1.447795934645803
0,3242,1
0,3565,1
0,3844,1
0,3953,1
0,4110,1
0,4241,1
0,4319,1
0,5110,1
0,5170,1
0,5348,1
0,6659,1
0,7541,1
0,11656,1
0,11788,1
0,12765,1
0,13585,1
0,14877,1
0,15798,1
1,0,6.288650229352679
1,2,1.4731250540307843
1,3,5.980330455742514
1,4,1
1,5,3.8763411802232195
1,6,2.8492231561695673
1,7,3.293990803532662
1,8,1
1,14,1
1,41,9.891102360084531
1,63,3.1011071503352694
1,143,2.4395825256507977
1,171,1
1,207,1
1,258,1
1,289,1
1,299,1.539330155667481
1,622,1
1,875,1
1,879,1
1,922,1.5178140333493295
1,1163,1
1,1358,1
1,1495,1
1,2081,1
1,2578,1
1,2986,1
1,3679,1
1,3764,1
1,4189,1
1,4293,1
1,4978,1
1,5025,1
1,6469,1
1,7102,1
1,8237,1
1,9418,1
1,10127,1
1,12803,1
1,13305,1
1,15416,1
1,16061,1
1,16860,1
1,16884,1
1,17355,1
1,17825,1
1,19191,1
2,0,1.15820481636113
2,1,1.1541600420575806
2,3,3.105966114971931
2,4,1.9425327164578863
2,5,2.1977202301820657
2,6,2.1233176329268537
2,7,1.65299279521411
2,8,1.1048934059226114
2,32,1
2,49,1
2,51,1.3113544237358994
2,76,2.977475112463077
2,81,1.1454941428630814
2,107,1.2637744801538904
2,159,1.4108459394405042
2,175,1.123169202492134
2,223,1.3745035908234156
2,234,1
2,303,1
2,380,1
2,428,1
2,469,1
2,647,1
2,738,1
2,743,1
2,841,1
2,861,1.1368546694357045
2,862,1
2,945,1
2,961,1
2,1215,1
2,1456,1
2,1696,1.1539615031151675
2,1878,1
2,2344,1
2,2394,1
2,3433,1
2,3548,1
2,3898,1
2,4440,1
2,4462,1
2,4750,1
2,6688,1
2,7592,1
2,8112,1
2,9506,1
2,9637,1
2,10702,1
2,12062,1
2,12140,1
2,12924,1
2,13474,1
2,14927,1
2,15755,1
2,15902,1
2,16277,1
2,16531,1
2,16637,1
2,19299,1
3,0,1.2649982529894788
3,1,1.2041552403010918
3,2,1.3311340134030956
3,4,1.1665479657085347
3,5,1.2928308020407284
3,6,1.2250646335386006
3,7,1.09285249236227
3,8,1.0219750119649018
3,36,1.0508817593549227
3,118,1.0472079971136494
3,176,1.0321869887368633
3,250,1
3,641,1
3,3106,1
3,5301,1
3,9059,1
3,10719,1
3,18091,1
4,0,1.576213635246271
4,1,1
4,2,2.0523020661847875
4,3,2.010261611724735
4,5,2.701835667881472
4,6,1.8489492374835503
4,7,1.8453028819599646
4,8,1.0985607409767868
4,33,3.03095474218153
4,50,1
4,76,5.718326188649135
4,94,1
4,117,1.6047787422204043
4,132,1
4,222,1.0617861319943138
4,234,1.1848605649289583
4,246,1.2664257501440837
4,427,1
4,792,1
4,832,1
4,835,1.1440163179723835
4,869,1
4,1147,1.2963438989830283
4,1280,1
4,1515,1.1687625909944253
4,2730,1
4,3741,1
4,4440,1
4,5703,1
4,5775,1
4,6020,1
4,6555,1
4,7265,1
4,7874,1
4,7915,1
4,8080,1
4,8112,1
4,8152,1
4,9084,1
4,9637,1
4,9683,1
4,10616,1
4,10639,1
4,10702,1
4,11734,1
4,12140,1
4,12950,1
4,13661,1
4,13726,1
4,14792,1
4,14825,1
4,15610,1
4,15902,1
4,16980,1
4,17811,1
4,18213,1
4,18430,1
5,0,3.427115057406841
5,1,3.1493383198717693
5,2,4.0598034320281045
5,3,5.735151062195721
5,4,5.0489125790748055
5,6,3.934442303716236
5,7,4.887326392603266
5,8,1.824797233309774
5,17,5.622136965340196
5,29,5.668277523424562
5,32,1.882635657050851
5,64,1.6331869550374771
5,82,6.748598303507943
5,108,4.5384520836097755
5,115,1
5,202,3.2367058154883397
5,228,1
5,240,1
5,241,1
5,260,3.1496677542906606
5,268,1.7110250701661198
5,345,1.4096277557666383
5,371,1.778735885144751
5,372,1
5,403,1
5,499,1
5,554,1
5,587,1
5,606,1.4313252230164457
5,676,1
5,806,1
5,846,1
5,913,1.2417502533253881
5,1079,1
5,1133,1
5,1155,1
5,1178,1
5,1349,1
5,1551,1
5,1585,1
5,1648,1
5,1858,1
5,2066,1
5,2284,1
5,2498,1
5,2572,1
5,2614,1
5,2618,1
5,2639,1
5,2647,1
5,2921,1
5,3547,1
5,3665,1
5,3793,1
5,3842,1
5,3929,1
5,4114,1
5,4336,1
5,4483,1
5,4590,1
5,4593,1
5,4633,1
5,4833,1
5,4877,1
5,5044,1
5,5127,1
5,5133,1
5,5465,1
5,5818,1
5,6072,1.3886080301117558
5,7440,1
5,7770,1
5,7947,1
5,8186,1
5,8190,1
5,8229,1
5,8252,1
5,9165,1
5,9315,1
5,9703,1
5,9936,1
5,10122,1
5,10249,1
5,10744,1
5,11010,1
5,11353,1
5,12348,1
5,12512,1
5,12800,1
5,13020,1
5,13024,1
5,13602,1
5,14836,1
5,16295,1
5,16506,1
5,17184,1
5,17506,1
5,17695,1
5,18041,1
5,18076,1
5,18188,1
5,18432,1
5,18756,1
5,18771,1
5,19690,1
5,19914,1
6,0,1.1578965017084708
6,1,1.1680398722464946
6,2,1.3200819858409965
6,3,1.3707345412370948
6,4,1.2040176765274202
6,5,1.3206206788336894
6,7,1.7155110712264723
6,8,1.1698941427534222
6,27,4.113397482844512
6,73,1
6,101,1.358408988945259
6,141,1.2575086066741399
6,593,1.0476367299143152
6,777,1
6,946,1.068644563295283
6,1104,1
6,1413,1
6,1921,1.0547940470699797
6,3807,1
6,4440,1
6,5116,1
6,5604,1
6,6196,1
6,7234,1
6,7341,1
6,7421,1
6,9450,1
6,9637,1
6,10702,1
6,12140,1
6,13356,1
6,13759,1
6,13964,1
6,15657,1
6,15952,1
6,17127,1
7,0,1.3105008877854079
7,1,1.599098186124025
7,2,1.5013824847533956
7,3,1.4602827514922776
7,4,1.6168861793834972
7,5,2.2002901850229213
7,6,3.163361735729715
7,8,1.4052018601137921
7,30,2.2054358252066306
7,65,1.2765190817815635
7,282,1
7,292,1.3641195949963867
7,383,1.6781320333378382
7,411,1
7,450,1
7,525,1
7,1485,1
7,2889,1
7,4569,1
8,0,1.419821142236549
8,1,1
8,2,1.466255149691551
8,3,1.558920921046868
8,4,1.552938512077413
8,5,2.385466190826426
8,6,3.149206317696401
8,7,3.1518747873693465
8,14,2.9093772255844175
