nid,Is,Os,S,V,D
0,106.80734792590891,94.35120607699614,201.15855400290505,0.9840332669519947,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
1,58.01267906662172,78.25059710413883,136.26327617076055,0.8622367493616493,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
2,81.83966341195091,69.33722081861706,151.17688423056796,0.3079230062303352,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
3,115.73257403842604,19.729835157514135,135.46240919594018,0.06424818578841596,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
4,164.02070201779685,71.60968076952582,235.63038278732267,0.37071679196588325,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
5,186.54643830422185,157.50761965548742,344.05405795970927,0.7772160602235114,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
6,190.15044457754016,42.327186889117556,232.47763146665773,0.10958809413995918,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
7,119.99791444300376,27.78121080572745,147.77912524873122,0.302249751154096,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
8,37.93713212313327,111.57704777575908,149.51417989889234,0.8007868979845821,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
9,2622.7809633190514,572.5457872481184,3195.3267505671697,0.7478773326407682,"[1, 0, 0, 0, 1, 0, 1, 1, 0, 1]"
10,5942.340318093251,794.8166489167699,6737.156967010021,0.02292955230030161,"[1, 0, 0, 1, 1, 0, 1, 1, 1, 1]"
11,1,7.211756062062112,8.211756062062111,0.5095869313959518,"[1, 0, 1, 0, 0, 1, 1, 0, 0, 0]"
12,1,1,2,0.061009090385381215,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
13,27.214239340782612,1,28.214239340782612,0.025597124898311424,"[1, 0, 0, 1, 0, 1, 1, 0, 0, 0]"
14,87.71633789779393,20.830656192475153,108.5469940902691,0.04813549472065784,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 1]"
15,0,5,5,0.08348994572005014,"[1, 1, 1, 0, 1, 0, 0, 0, 1, 1]"
16,0,24.013497703080823,24.013497703080823,0.02376849058432598,"[1, 0, 0, 1, 0, 1, 0, 1, 1, 0]"
17,545.9372016787131,83.90761204732988,629.844813726043,0.05256025264157077,"[1, 0, 0, 1, 1, 1, 0, 0, 0, 1]"
18,328.45170345387635,2.1967216535673155,330.64842510744364,0.03381813332222061,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]"
19,0,5,5,0.05427280294965858,"[1, 0, 1, 1, 1, 1, 0, 0, 0, 0]"
20,0,6,6,0.011702018923610252,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 1]"
21,747.6810508301547,160.7177434695531,908.3987942997078,0.020405077227287932,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1]"
22,0,2,2,0.008882814519445809,"[0, 0, 0, 1, 0, 1, 0, 0, 1, 0]"
23,0,3,3,0.067842495266869,"[0, 0, 1, 0, 1, 1, 1, 1, 1, 1]"
24,0,2,2,0.057729627890617086,"[1, 1, 1, 0, 0, 0, 0, 1, 1, 0]"
25,0,1,1,0.0796318871842307,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0]"
26,311.62552587695944,49.7716805979419,361.39720647490134,0.0942344020093881,"[1, 1, 0, 0, 0, 0, 1, 1, 1, 1]"
27,4049.312201918508,149.20729076080497,4198.519492679313,0.049623525588394696,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]"
28,61.36131532085056,6.178657982866495,67.53997330371705,0.01303039950446283,"[0, 0, 1, 1, 0, 1, 0, 1, 0, 1]"
29,463.3135209537367,106.94125155912924,570.254772512866,0.06553533726791,"[0, 0, 0, 1, 0, 0, 1, 1, 0, 1]"
30,284.0970243145119,31.4241149722977,315.52113928680956,0.07864016160299642,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 1]"
31,0,35.04885610096207,35.04885610096207,0.014346817232153253,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
32,51.616858468760185,34.779917302371956,86.39677577113214,0.05776811183581537,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 1]"
33,167.19021898437904,7.4400686596203665,174.63028764399942,0.013993303813327224,"[1, 0, 1, 0, 1, 0, 1, 1, 0, 1]"
34,289.41791898785607,74.94147315366608,364.35939214152216,0.03145808595330882,"[1, 0, 1, 0, 0, 0, 1, 1, 1, 0]"
35,0,2,2,0.002910498325579103,"[1, 0, 1, 0, 0, 0, 0, 1, 1, 0]"
36,18.21564602855073,3.2119356610732197,21.42758168962395,0.028777616494487762,"[1, 0, 1, 1, 0, 0, 0, 0, 1, 1]"
37,66.99108971602347,109.90066200006532,176.89175171608878,0.041514450431530375,"[1, 1, 0, 0, 0, 1, 0, 1, 0, 1]"
38,2412.828827170049,420.31594768585524,2833.144774855904,0.06220818810226608,"[0, 1, 1, 1, 0, 0, 1, 0, 1, 0]"
39,5.022054900261509,9,14.022054900261509,0.031840721056981214,"[1, 1, 0, 1, 0, 0, 1, 0, 1, 0]"
40,181.74081845307842,60.172068591145724,241.91288704422414,0.09439391741760988,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0]"
41,2163.1076569458432,54.81850324702296,2217.926160192866,0.07943674238824155,"[1, 1, 1, 0, 0, 1, 1, 0, 1, 1]"
42,0,1,1,0.005004750141923836,"[1, 1, 1, 1, 0, 0, 0, 1, 0, 0]"
43,0,7,7,0.06833682572784333,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
44,43.01361840248131,8.560617251520213,51.57423565400153,0.082551000596991,"[1, 0, 1, 1, 0, 0, 1, 0, 0, 0]"
45,157.5827467882204,78.60424971907872,236.1869965072991,0.09587459823437133,"[1, 1, 0, 0, 1, 0, 1, 0, 0, 0]"
46,3.0323289836184038,3,6.032328983618404,0.09738724969069362,"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
47,0,1,1,0.013029175098803553,"[0, 1, 0, 1, 0, 0, 1, 1, 0, 0]"
48,0,18,18,0.07650047469210292,"[1, 1, 1, 0, 0, 0, 1, 0, 1, 1]"
49,2,5,7,0.01735221306932147,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
50,136.0551428554309,51.239138809315506,187.2942816647464,0.004076721335525307,"[0, 1, 0, 0, 1, 1, 0, 1, 0, 1]"
51,202.0550947843756,85.45939246008396,287.5144872444596,0.003532761034448023,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 0]"
52,719.8238238997632,313.93155344115814,1033.7553773409213,0.07062276345917723,"[0, 1, 0, 1, 1, 0, 1, 0, 1, 0]"
53,20.044565976243334,7.920176732120919,27.964742708364252,0.07880877449990537,"[0, 0, 1, 0, 1, 1, 1, 0, 0, 0]"
54,0,1,1,0.009385031729773063,"[1, 0, 1, 0, 0, 1, 0, 1, 1, 1]"
55,0,2,2,0.08146561183017514,"[0, 1, 0, 0, 1, 0, 1, 0, 1, 0]"
56,0,1,1,0.054341254826802354,"[0, 0, 0, 0, 1, 0, 1, 1, 0, 1]"
57,0,2,2,0.018205539509794894,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 1]"
58,741.9854691931398,206.69083551982678,948.6763047129666,0.08650861634539325,"[1, 0, 0, 1, 1, 0, 1, 1, 1, 0]"
59,16.057085785754822,5.0062067948330435,21.063292580587866,0.0029053048838654505,"[1, 0, 1, 1, 1, 1, 0, 1, 0, 0]"
60,0,3,3,0.0017221055365236604,"[1, 0, 1, 1, 1, 0, 0, 0, 0, 1]"
61,0,4,4,0.03156572421523621,"[0, 1, 1, 1, 1, 0, 0, 1, 0, 1]"
62,0,5,5,0.04955374047871272,"[1, 1, 1, 1, 1, 0, 0, 1, 0, 0]"
63,1204.171923558798,670.6411658835908,1874.813089442389,0.03953976585109556,"[0, 1, 1, 1, 1, 1, 0, 1, 0, 0]"
64,36.080235868439004,3.375878465138736,39.45611433357774,0.07220712647045421,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0]"
65,22.354947590064313,30.003243332523695,52.35819092258801,0.000395225391368742,"[0, 0, 1, 1, 0, 1, 1, 1, 0, 0]"
66,122.68599917972769,10.424059828304484,133.11005900803218,0.06834920371874303,"[0, 1, 0, 1, 0, 1, 1, 1, 0, 0]"
67,54.374992562988695,12.400197641992534,66.77519020498123,0.02326761825726345,"[1, 0, 0, 1, 1, 0, 0, 1, 1, 0]"
68,92.48832653689882,42.8439028090649,135.33222934596373,0.021611213107195965,"[1, 0, 1, 0, 0, 1, 0, 1, 0, 0]"
69,0,3,3,0.08416568607263258,"[1, 0, 1, 0, 0, 1, 0, 0, 1, 1]"
70,0,1,1,0.02578988233991089,"[0, 1, 1, 1, 0, 1, 0, 1, 1, 1]"
