from,to,w
0,1,61.326663099218365
0,2,8.125486843841072
0,3,42.74262873475881
0,4,2.6751605543547576
0,5,9.954998689742611
0,6,1.2944673385882157
0,7,6.769572519734962
0,8,1.1614596073811254
0,52,20.248437558300232
0,204,3.3741016523588785
0,346,1.232158068988892
0,412,1
0,414,1.1143366466592255
0,527,1.300153993242943
0,662,1.2449113384976511
0,699,1.6015486132715808
0,778,1.0687150850905676
0,1026,1.823923222295507
0,1046,1
0,1179,1
0,1321,2.3595960596995953
0,1366,1.2726095429405682
0,1450,1
0,1600,1.2824248977821684
0,1648,1.166775454915505
0,2173,1
0,2293,1.3544690005335451
0,2344,1.077126852322411
0,2408,1
0,2425,1.0387798106092607
0,2445,1.681075926066884
0,2467,1
0,2514,1
0,2679,1
0,2993,1.0872545738708363
0,3616,1.1934329983296368
0,3751,1.0671189029775665
0,3802,1.116339431827782
0,4136,1
0,4442,1.1507862753814824
0,4649,1
0,4864,1
0,4954,1.14159585647392
0,5179,1
0,5216,1
0,5268,1
0,5941,1.0866081659405402
0,6178,1
0,6296,1
0,6366,1.1676830310146868
0,6376,1.2023252603428218
0,6506,1
0,6589,1
0,6687,1
0,6788,1.1041750360957105
0,6877,1
0,6977,1
0,7250,1
0,7325,1.0872545738708363
0,7348,1
0,7781,1
0,8104,1
0,8123,1
0,8237,1.0755550339498343
0,8419,1
0,8647,1
0,8812,1
0,8946,1
0,8973,1
0,8998,1.0523527443225018
0,8999,1.0814376022794474
0,9088,1
0,9248,1
0,9330,1
0,9366,1
0,9674,1.0747896347464312
0,9782,1
0,9824,1
0,10000,1
0,10031,1
0,10227,1
0,10304,1
0,10354,1
0,10436,1.0683514646843815
0,10544,1
0,10556,1
0,10590,1
0,10784,1
0,11087,1
0,11551,1
0,11767,1
0,11867,1
0,12104,1
0,12626,1.0770381142524417
0,12861,1
0,12965,1
0,12970,1
0,13056,1
0,13196,1
0,13427,1
0,13551,1
0,13790,1
0,14091,1
0,14174,1
0,14287,1
0,14514,1
0,14521,1
0,14951,1
0,15014,1
0,15429,1
0,15449,1
0,16015,1
0,16650,1
0,16667,1
0,17334,1
0,17436,1
0,17747,1
0,17802,1
0,17967,1
0,18040,1
0,18136,1.0867879774404146
0,18415,1
0,18444,1
0,18584,1
0,18675,1
0,18791,1
0,18930,1
0,19062,1
0,19137,1
0,19550,1
0,19780,1
0,19932,1
0,19939,1
1,0,168.01600336561648
1,2,10.74818203680249
1,3,70.5449446175384
1,4,3.234704095000895
1,5,18.80264141467566
1,6,1.5854044895868737
1,7,12.469977187429434
1,8,1.3209835749560688
1,11,108.09318516718383
1,17,1.890890225945899
1,19,1.8534271459435856
1,73,1.1604218848613537
1,89,7.084501053230259
1,118,1.8086371203545784
1,185,1.2858767363382848
1,209,2.7422554653721525
1,245,5.729326181579699
1,251,1.3855737077783281
1,304,1.4435927582311365
1,306,1
1,328,1
1,381,1.528057967479882
1,407,2.933972502865763
1,416,1.3654487957831671
1,465,1.2130052957160227
1,508,1.0990170025671897
1,619,1.1726923586677036
1,659,1.1611851445355326
1,664,1.17339923980741
1,694,1
1,697,1.6824512995119807
1,729,1.9060572308684238
1,757,1.2001918911273692
1,835,1
1,847,2.744279564069287
1,857,1.4433172785987058
1,934,1
1,938,2.033338366527884
1,946,1.4500726030834301
1,963,1.099085344866664
1,981,1.428856178433233
1,1053,1
1,1075,1.5667303979293805
1,1081,1
1,1082,1
1,1085,1
1,1115,1
1,1146,1
1,1197,1
1,1205,1
1,1228,1.5649259395757953
1,1244,1.834708303925736
1,1286,1.1232917070238926
1,1294,1
1,1326,1
1,1430,1.6649892349464384
1,1439,1
1,1492,2.449735957941965
1,1520,1.5242154481277068
1,1530,1
1,1532,1
1,1540,1
1,1556,1.0867315531934196
1,1561,1.8201967617060064
1,1664,1.1011419336507509
1,1665,1
1,1719,1.1256210259846087
1,1746,1.1445525886556993
1,1761,1
1,1805,1
1,1849,1
1,2076,1
1,2200,1
1,2244,1
1,2271,1
1,2283,1
1,2478,1
1,2529,1
1,2606,1
1,2607,1.3930530083735078
1,2627,1
1,2635,1
1,2652,1.4737679389138476
1,2754,1.3110696771666668
1,2772,1.1240761579525522
1,2979,1
1,3172,1
1,3394,1
1,3568,1
1,3662,1
1,3664,1.1734631063868393
1,3752,1.1483431168893041
1,3777,1
1,3849,1
1,3855,1.2013944473511586
1,3894,1
1,4135,1
1,4155,1.3969895809113577
1,4187,1
1,4232,1.1916594145032167
1,4275,1
1,4317,1
1,4348,1
1,4397,1
1,4461,1.4026424993282705
1,4491,1
1,4506,1
1,4600,1
1,4634,1
1,4679,1
1,4717,1
1,4815,1
1,4878,1
