from,to,w
0,1,1.4882320236893258
0,2,1
0,3,1.3239052975933243
0,4,1.3371702728064965
0,5,1.2570909438666251
0,6,1.2150152894475743
0,7,1.2095262004387088
0,8,1.0591803841340155
0,56,1.086936744904135
0,1057,1
0,3063,1
0,3378,1
0,3957,1
0,7528,1
0,12272,1
0,14476,1
0,18761,1
1,0,6.104812131682702
1,2,1.8208912633913394
1,3,1.942773502198049
1,4,2.0076247065224884
1,5,1.3957263329450602
1,6,1.7720137232237156
1,7,2.285817541133401
1,8,1.3676770490994183
1,18,18.1105619770857
1,29,2.0394632315017596
1,42,2.627200884995381
1,97,1
1,103,1.305238326589775
1,125,1.9058268461583951
1,136,1
1,234,1
1,293,1
1,503,1
1,641,1.2474679078329989
1,1200,1
1,1660,1
1,2787,1
1,3143,1
1,3830,1
1,3907,1
1,4566,1
1,5689,1
1,7178,1
1,7196,1
1,8668,1
1,9985,1
1,11118,1
1,13121,1
1,13708,1
1,13869,1
1,14383,1
1,15413,1
1,16704,1
2,0,1
2,1,1.4243421341443552
2,3,1.747076464151456
2,4,1.2832804294237299
2,5,1
2,6,1.6416757649017344
2,7,1.689761834455011
2,8,1.2132970584378058
2,19,1
2,62,3.275470369617653
2,94,1.1389947753569283
2,572,1
2,578,1.640134161890614
2,609,1
2,823,1.2652549858835664
2,2079,1
2,3112,1
2,4388,1
2,5189,1
2,6452,1
2,6732,1
2,8718,1
2,9490,1
2,10087,1
2,10567,1
2,11143,1
2,17647,1
2,18727,1
3,0,1.7596279379028765
3,1,1.233480656122614
3,2,1.4016975380202263
3,4,1.9665279898578512
3,5,1.2247026074830085
3,6,1.2282736294846517
3,7,1.6611682712938485
3,8,1.1270276847882752
3,12,7.284123639691087
3,33,1.3836206311013755
3,35,3.59743342371417
3,38,1
3,53,2.053876520055839
3,60,1
3,86,1.3763767544214571
3,143,1
3,147,1.0649441044547645
3,229,1
3,376,1
3,732,1
3,905,1
3,1059,1
3,1618,1
3,1684,1
3,1801,1
3,1827,1
3,1860,1
3,1919,1.1276533382666003
3,1923,1
3,1948,1
3,2743,1
3,3331,1
3,3345,1
3,4797,1
3,5308,1
3,5449,1
3,6312,1
3,6512,1
3,6595,1
3,6668,1
3,8459,1
3,8905,1
3,8933,1
3,9161,1
3,9405,1
3,10610,1
3,10931,1
3,12635,1
3,13365,1
3,13867,1
3,14807,1
3,15759,1
3,16047,1
3,16819,1
3,17779,1
4,0,1.7451494422089375
4,1,1.2657916659214676
