nid,Is,Os,S,V,D
0,152.08023755241902,18.977057156880207,171.05729470929924,0.11806627688670979,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
1,73.17323748459194,69.93309542436018,143.1063329089521,0.7424037234989965,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
2,70.78768687784805,34.31928797826285,105.1069748561109,0.3989103688239676,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
3,140.92644299458524,69.49053472665864,210.41697772124388,0.22730436559167544,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
4,129.91426567838818,40.807294942923384,170.72156062131157,0.25822467422382345,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
5,54.759965568669784,38.610187586402404,93.37015315507219,0.8167577602281104,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
6,109.73614274754044,29.19207298894201,138.92821573648246,0.6570467943486137,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
7,151.28410188162036,103.04329142195631,254.32739330357668,0.8862397784884729,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
8,48.89120314749151,22.742380344498898,71.63358349199041,0.05778092982488414,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
9,73.6475223579721,29.799691238915962,103.44721359688805,0.7928680406145279,"[0, 1, 0, 0, 0, 0, 1, 0, 1, 0]"
10,9.232122163280348,3,12.232122163280348,0.8876911442953187,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]"
11,1985.235357455426,7.31539023470477,1992.550747690131,0.03646191339586005,"[1, 0, 0, 0, 1, 1, 1, 0, 1, 1]"
12,2840.4499195046424,57.51912607024823,2897.9690455748905,0.09876543374722746,"[1, 0, 0, 1, 1, 1, 0, 0, 1, 1]"
13,0,2,2,0.0017522692001473439,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 1]"
14,1,5,6,0.004557646973656848,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 0]"
15,0,5,5,0.04423956064269349,"[1, 1, 1, 1, 0, 0, 0, 1, 1, 1]"
16,0,1,1,0.04332325314993868,"[1, 0, 1, 0, 0, 1, 1, 1, 0, 1]"
17,0,1,1,0.007253161255795282,"[1, 1, 0, 1, 0, 0, 1, 0, 1, 1]"
18,6691.489808118124,299.380631561698,6990.870439679822,0.03130133515475389,"[1, 1, 1, 1, 0, 0, 1, 1, 1, 1]"
19,16.065633575245933,10.056279691848951,26.121913267094882,0.00507319190554209,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
20,0,1,1,0.0080196526960509,"[1, 1, 0, 0, 0, 1, 1, 0, 1, 0]"
21,174.49919118578848,85.5261707298565,260.02536191564496,0.005447485472437369,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 1]"
22,0,1,1,0.022638876452531875,"[1, 1, 0, 1, 0, 1, 0, 0, 0, 0]"
23,0,90.78098734081797,90.78098734081797,0.08562825288108894,"[1, 1, 1, 0, 0, 1, 1, 1, 1, 1]"
24,0,1,1,0.09379441858201118,"[0, 0, 1, 1, 1, 1, 0, 0, 1, 1]"
25,0,1,1,0.09947669390765063,"[1, 0, 0, 1, 1, 1, 1, 1, 0, 1]"
26,87.42960276053968,50.62787006673267,138.05747282727236,0.09894192386423034,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]"
27,0,3,3,0.0849575295195239,"[1, 0, 0, 1, 1, 0, 0, 0, 0, 1]"
28,50.63495275836764,29.025390657920834,79.66034341628847,0.06988162086756383,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
29,181.4139795879751,23.00194464205502,204.4159242300301,0.09984274189169079,"[0, 1, 0, 1, 0, 0, 0, 0, 1, 1]"
30,28.286389956855793,10.22983926935122,38.51622922620702,0.07330214440078528,"[0, 1, 1, 0, 0, 0, 1, 0, 0, 0]"
31,0,1,1,0.029360621301249112,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 1]"
32,67.22998280313047,17.588187765275343,84.8181705684058,0.04907888189124035,"[0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
33,34.55865469888579,11.048537817341728,45.607192516227514,0.07998003789620795,"[0, 1, 0, 1, 1, 0, 0, 0, 1, 0]"
34,673.9535362912394,92.36600658643513,766.3195428776745,0.029902099229488638,"[1, 0, 1, 1, 1, 0, 1, 0, 0, 1]"
35,1786.6649592784233,226.90797074948253,2013.5729300279058,0.05983117433504909,"[1, 0, 1, 1, 0, 1, 0, 1, 0, 1]"
36,0,2,2,0.08098943090872002,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 1]"
37,0,2,2,0.006313755253827408,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
38,27.01905045983522,26.2119105570935,53.23096101692872,0.08338693447749057,"[1, 0, 1, 1, 1, 0, 0, 0, 0, 1]"
39,115.94767711336667,16.782867709233166,132.73054482259982,0.0825673921026043,"[0, 1, 0, 1, 1, 0, 1, 1, 0, 1]"
40,0,7,7,0.03297358520751134,"[1, 0, 0, 0, 1, 1, 0, 1, 0, 0]"
41,54.218907686998264,11.472505841057057,65.69141352805532,0.019003367719588937,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]"
42,29.841660605789116,3.0728872070653033,32.91454781285442,0.041216803635998,"[0, 1, 0, 0, 1, 0, 0, 1, 0, 1]"
43,0,3,3,0.03913939206686637,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0]"
44,0,1,1,0.012366331717835077,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]"
45,0,5,5,0.027750530361082465,"[0, 0, 1, 1, 1, 1, 1, 1, 0, 0]"
46,1603.4966674598913,100.05265461830233,1703.5493220781937,0.031041837868861083,"[1, 1, 0, 1, 1, 1, 0, 1, 1, 0]"
47,0,2,2,0.0034857047951335762,"[0, 0, 1, 1, 1, 0, 0, 1, 0, 0]"
48,0,1,1,0.03174114360197722,"[1, 0, 1, 0, 0, 1, 1, 1, 0, 0]"
49,0,2,2,0.04704173695189706,"[1, 0, 1, 1, 1, 1, 0, 1, 1, 1]"
50,0,2,2,0.08464580278831274,"[1, 1, 0, 0, 1, 0, 0, 1, 1, 0]"
51,0,1,1,0.055912511416100846,"[1, 0, 0, 0, 1, 1, 1, 1, 1, 0]"
52,0,2,2,0.08749273749999514,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 0]"
53,280.58942940724404,99.81969360913217,380.4091230163762,0.029933701206498214,"[0, 0, 1, 0, 1, 0, 1, 1, 0, 1]"
54,0,1,1,0.03443612846714464,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
55,79.49497407997352,34.6759667942877,114.17094087426122,0.09646833791144588,"[0, 0, 1, 0, 0, 0, 1, 1, 1, 0]"
56,20.11296519696048,5.012994772654755,25.125959969615238,0.02165012257674484,"[0, 1, 0, 0, 0, 1, 0, 0, 1, 1]"
57,0,15,15,0.0617754478565819,"[1, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
58,0,3,3,0.050259979945534605,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
59,22.063513769147555,9.01199816963868,31.075511938786235,0.0014010015962543643,"[1, 0, 1, 0, 0, 0, 0, 1, 1, 1]"
60,40.161959483107566,23.15344081013643,63.315400293244,0.010858668488160444,"[0, 0, 1, 1, 0, 1, 1, 1, 0, 0]"
61,124.57183706562768,35.982365159530616,160.5542022251583,0.07735416785970023,"[1, 1, 1, 0, 0, 1, 0, 1, 1, 1]"
62,172.33011965958895,4.6242671975205285,176.95438685710948,0.06672459525949642,"[1, 1, 1, 1, 1, 0, 0, 1, 0, 1]"
63,533.8481924932473,356.69552535212756,890.5437178453749,0.09863675990530735,"[1, 1, 1, 0, 1, 0, 1, 0, 0, 1]"
64,0,2,2,0.0963975801298812,"[1, 1, 0, 0, 1, 0, 0, 0, 1, 0]"
65,0,1,1,0.06401135772928684,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
66,0,4,4,0.04922005717741071,"[0, 0, 1, 1, 0, 0, 1, 0, 1, 0]"
67,0,14,14,0.052145624471223784,"[0, 0, 0, 1, 0, 1, 1, 1, 1, 1]"
68,0,1,1,0.004527235641604455,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]"
69,241.21865266432434,41.17023012839827,282.3888827927226,0.07448881710133975,"[1, 1, 0, 1, 0, 0, 1, 0, 1, 1]"
70,5574.023444866937,276.1408478745992,5850.164292741536,0.09339483794773445,"[1, 1, 1, 1, 1, 0, 1, 1, 1, 1]"
71,152.72686765489786,50.5754499954514,203.30231765034927,0.09867601754547256,"[0, 1, 0, 0, 1, 1, 0, 0, 1, 0]"
72,26.14608476401466,6.636943483978604,32.783028247993265,0.05823352274751564,"[0, 1, 0, 1, 0, 0, 1, 1, 1, 1]"
73,529.0789772369997,108.92976944053139,638.008746677531,0.09351716830962203,"[1, 0, 1, 1, 0, 0, 1, 1, 1, 1]"
74,8.092268735157095,7.155963102253173,15.248231837410268,0.057207249386950154,"[0, 0, 0, 1, 0, 1, 1, 1, 0, 0]"
75,12.024060998491233,12.489535078455239,24.51359607694647,0.060914285661296586,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
76,0,1,1,0.008003748874321537,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0]"
77,0,1,1,0.09163617962268433,"[1, 0, 1, 1, 1, 1, 0, 1, 1, 1]"
78,435.7241595228651,26.97624951990793,462.700409042773,0.010849733255781674,"[1, 0, 0, 1, 1, 1, 1, 0, 1, 1]"
79,0,1,1,0.09193198128839836,"[0, 1, 0, 1, 1, 0, 0, 0, 1, 0]"
80,64.12710939805304,5.421297529441131,69.54840692749417,0.06086888471805901,"[1, 1, 1, 0, 1, 1, 1, 0, 1, 0]"
81,0,3,3,0.08976385467862907,"[0, 1, 0, 1, 0, 0, 0, 0, 1, 0]"
82,320.44641783577697,21.991233957409637,342.4376517931866,0.06579548882731798,"[1, 1, 1, 1, 1, 0, 1, 0, 1, 0]"
83,0,1,1,0.06020847940321633,"[1, 1, 1, 1, 1, 0, 0, 0, 1, 1]"
84,6.005391927309765,6.08325097613324,12.088642903443006,0.09833143411233353,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
85,0,1,1,0.02851213339763123,"[1, 1, 1, 0, 1, 0, 0, 1, 0, 1]"
86,34.58688188417404,4.23186526002558,38.81874714419962,0.07018254480982816,"[0, 1, 0, 1, 0, 1, 1, 0, 0, 0]"
87,0,3,3,0.0457304522999496,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 1]"
88,0,1,1,0.0654133349014811,"[1, 0, 0, 0, 0, 1, 0, 1, 1, 1]"
89,0,7,7,0.0624883804906185,"[0, 1, 1, 1, 0, 0, 1, 0, 0, 1]"
90,818.2609317274329,319.32011163507264,1137.5810433625056,0.055893501505859644,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]"
91,0,1,1,0.06337893401439426,"[1, 0, 1, 1, 1, 1, 1, 1, 0, 0]"
92,60.48146629222137,18.307752484626974,78.78921877684834,0.08962706913657853,"[1, 1, 1, 1, 0, 1, 1, 0, 0, 1]"
93,20,2.3270276494046227,22.327027649404624,0.05779297142542167,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 1]"
94,64.2539355175644,98.16324813271831,162.4171836502827,0.0777008544628443,"[1, 0, 0, 1, 1, 0, 1, 1, 1, 1]"
95,0,1,1,0.03870923991582487,"[1, 1, 0, 1, 0, 0, 0, 1, 1, 1]"
96,0,1,1,0.024687063441956314,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 1]"
97,16.019062460147182,10.025237869157891,26.044300329305074,0.09494155039425967,"[0, 0, 1, 1, 1, 0, 0, 0, 1, 0]"
98,63.782703607208425,7.609553820598955,71.39225742780738,0.07398235781153378,"[1, 0, 0, 0, 0, 1, 1, 1, 0, 1]"
99,5,16.0698064203219,21.0698064203219,0.0425812837061135,"[0, 0, 0, 1, 1, 0, 0, 1, 0, 1]"
100,43.241549393670894,16.562661042609548,59.80421043628044,0.0974791325310494,"[0, 1, 1, 0, 0, 0, 0, 0, 1, 1]"
101,0,6.009520199535585,6.009520199535585,0.010066778163112439,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 1]"
102,2.0411922836273564,2.0088766551301527,4.050068938757509,0.012291640705546975,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
103,21.331314098282284,32.16556434518236,53.496878443464645,0.05442524994379899,"[0, 0, 1, 1, 0, 1, 0, 0, 1, 0]"
104,0,1,1,0.06616849986999401,"[1, 1, 1, 1, 1, 0, 0, 0, 1, 0]"
105,361.59009528102774,75.96637914000902,437.5564744210368,0.08296319913534675,"[1, 0, 1, 1, 1, 1, 0, 0, 0, 1]"
106,0,4,4,0.0817190154888246,"[1, 0, 1, 0, 0, 1, 0, 0, 1, 0]"
107,111.60016870381716,78.9537126585117,190.55388136232887,0.031770161292157956,"[0, 0, 1, 1, 0, 1, 1, 0, 1, 0]"
108,0,3,3,0.017284239771656607,"[1, 1, 1, 1, 0, 1, 1, 1, 0, 1]"
109,0,1,1,0.0009154571824353808,"[1, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
110,0,10,10,0.09138712687954492,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 1]"
111,30.156102912878904,4.056003671247463,34.21210658412637,0.07110394376369905,"[1, 0, 1, 1, 1, 1, 1, 0, 0, 1]"
112,204.35848810490265,154.66444547353595,359.0229335784386,0.05444863678059669,"[1, 0, 0, 1, 1, 1, 0, 1, 1, 1]"
113,0,1,1,0.012976157761544677,"[0, 1, 0, 1, 1, 0, 1, 1, 0, 1]"
114,0,1,1,0.011477695915675296,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
115,0,2,2,0.019889589916937372,"[1, 0, 0, 1, 1, 1, 0, 0, 0, 0]"
116,0,5,5,0.013290025392040744,"[1, 1, 0, 1, 0, 0, 0, 0, 1, 1]"
117,7.04998752368513,3,10.049987523685129,0.023952954379733576,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0]"
118,91.28449002733406,16.12111154079018,107.40560156812424,0.011502358440444477,"[0, 1, 0, 1, 1, 1, 0, 0, 1, 1]"
119,0,1,1,0.03378450420425633,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 1]"
120,0,3,3,0.06777513682036324,"[1, 0, 1, 1, 0, 1, 1, 1, 1, 1]"
121,0,2,2,0.034142603407290556,"[0, 0, 1, 1, 1, 1, 0, 1, 0, 1]"
122,0,1,1,0.029306606099802845,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 1]"
123,0,2,2,0.06771634870692606,"[0, 0, 1, 0, 1, 0, 1, 0, 1, 1]"
124,259.06279331242894,79.18416411891724,338.2469574313462,0.030759081268245808,"[0, 0, 1, 0, 0, 1, 1, 1, 0, 1]"
125,114.7100637469399,46.802588060392566,161.51265180733247,0.08236150019881033,"[0, 0, 1, 0, 1, 1, 0, 0, 0, 1]"
126,25.034261930528615,14.614722851931672,39.64898478246029,0.09393805478297007,"[0, 0, 1, 1, 1, 0, 1, 0, 0, 1]"
127,0,1,1,0.06240045428891311,"[0, 0, 0, 0, 1, 1, 1, 0, 1, 1]"
128,0,2,2,0.07834181969356707,"[1, 0, 0, 1, 0, 1, 0, 0, 1, 1]"
129,0,1,1,0.051726551585795144,"[0, 1, 0, 0, 1, 0, 1, 0, 1, 0]"
130,11,13.333967830874554,24.333967830874556,0.051876388251670236,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0]"
131,12,4.095230599233276,16.095230599233275,0.044668080377531144,"[0, 1, 0, 1, 0, 1, 0, 0, 1, 0]"
132,0,1,1,0.0008509849700712446,"[1, 1, 1, 0, 0, 1, 0, 0, 0, 0]"
133,0,5,5,0.09084777306426281,"[0, 1, 1, 0, 0, 1, 1, 1, 1, 1]"
134,0,2,2,0.02819281989012365,"[1, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
135,0,1,1,0.03909200769900498,"[1, 0, 1, 1, 0, 1, 1, 1, 1, 1]"
136,131.1754120852965,72.75457850137191,203.9299905866684,0.06419437718861015,"[1, 0, 1, 1, 0, 0, 1, 0, 0, 1]"
137,0,12,12,0.048325722187091996,"[1, 1, 1, 1, 1, 0, 0, 1, 0, 1]"
138,0,8,8,0.021959365371142653,"[0, 1, 0, 0, 1, 1, 0, 1, 1, 0]"
139,57.3262296400807,24.231540323275194,81.5577699633559,0.0855456273772987,"[0, 1, 0, 0, 0, 1, 1, 0, 1, 1]"
140,0,15.016651314512501,15.016651314512501,0.017629407661605062,"[1, 0, 1, 1, 1, 1, 1, 0, 0, 0]"
141,0,1,1,0.008803804866835657,"[1, 1, 0, 1, 1, 0, 0, 1, 1, 0]"
142,0,6,6,0.0687714861593573,"[0, 0, 1, 0, 0, 1, 0, 1, 1, 0]"
143,11,3.1130058806512038,14.113005880651205,0.02925778679935856,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 1]"
144,1,4,5,0.051469069580256155,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
145,0,4,4,0.006835922485529805,"[1, 0, 0, 0, 0, 1, 0, 1, 1, 1]"
146,20.083858061856084,8.518747100197642,28.602605162053727,0.07511910047792264,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 1]"
147,3.0649441044547645,9.009065686591123,12.074009791045889,0.004713346507848409,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
148,1,10.003079029260672,11.003079029260672,0.004358537083187897,"[0, 0, 1, 0, 0, 1, 1, 0, 0, 1]"
149,12.034494110368325,30.478347535212333,42.51284164558066,0.055481006904078256,"[0, 1, 0, 1, 1, 1, 0, 1, 0, 1]"
150,0,1,1,0.07271308243143235,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 0]"
151,160.14164378148416,74.40422281085763,234.54586659234178,0.0909776029315586,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 1]"
152,36.13175070220548,35.97740744420467,72.10915814641015,0.06525756153285828,"[0, 0, 0, 1, 1, 0, 1, 0, 1, 1]"
153,0,1,1,0.01438381182975182,"[0, 1, 0, 0, 0, 0, 0, 1, 1, 1]"
154,0,1,1,0.011654549520460217,"[1, 0, 0, 0, 0, 1, 1, 1, 0, 0]"
155,0,5,5,0.0570830483626627,"[0, 1, 0, 1, 0, 0, 1, 1, 1, 0]"
156,0,2,2,0.022335428617637182,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 1]"
157,0,4,4,0.0503926914955774,"[1, 1, 0, 0, 0, 0, 0, 1, 0, 1]"
158,38.05208690310514,18.114260880361424,56.16634778346656,0.06433146273166385,"[1, 1, 1, 0, 1, 0, 0, 1, 0, 0]"
159,13,10.275093007323889,23.27509300732389,0.03712312847661628,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
160,14.063604965364977,9.471672699481871,23.53527766484685,0.06824307616597652,"[0, 0, 0, 1, 1, 1, 0, 1, 0, 0]"
161,46.79510845948177,9.078653577629742,55.87376203711151,0.061106251197203754,"[1, 0, 1, 1, 0, 1, 1, 1, 1, 0]"
162,6,5.06668737769073,11.06668737769073,0.03506562959798601,"[1, 0, 1, 0, 0, 0, 1, 0, 1, 1]"
163,0,1,1,0.029417840010411145,"[0, 0, 0, 1, 0, 0, 1, 1, 1, 0]"
164,1,5.054513209618608,6.054513209618608,0.06237872969238273,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
165,106.68497222233259,38.153144269975556,144.83811649230813,0.0033955964774743663,"[0, 0, 1, 0, 1, 0, 1, 1, 1, 0]"
166,0,7,7,0.003867146762552426,"[1, 1, 0, 1, 1, 1, 0, 1, 1, 0]"
167,0,1,1,0.013621137307297554,"[0, 0, 1, 1, 1, 1, 0, 1, 1, 1]"
168,0,1,1,0.09647580015874452,"[1, 1, 0, 1, 1, 0, 1, 0, 0, 1]"
169,1,2,3,0.010445248709141125,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
170,6,7.018907641067928,13.018907641067928,0.006624747195000641,"[0, 1, 1, 1, 1, 1, 0, 0, 1, 0]"
171,42.087287190715244,25.179915304725952,67.2672024954412,0.05990435882488837,"[0, 1, 1, 0, 1, 1, 0, 1, 0, 0]"
172,9.06147822991928,3,12.06147822991928,0.07226299861119462,"[0, 0, 1, 0, 1, 1, 0, 0, 0, 1]"
173,0,1,1,0.005889066895993861,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
174,0,1,1,0.06364425709535027,"[1, 1, 1, 0, 0, 1, 1, 1, 1, 1]"
175,0,6,6,0.03244368753896687,"[1, 0, 0, 1, 0, 1, 1, 1, 1, 1]"
176,141.41220808964914,26.097429372718302,167.50963746236744,0.09384234317665979,"[1, 1, 1, 0, 0, 1, 1, 0, 0, 1]"
177,0,3,3,0.020006585339143818,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1]"
178,0,1,1,0.034351853634266905,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]"
179,127.72577613795896,32.33187842948772,160.0576545674467,0.0769554455074159,"[0, 0, 1, 1, 1, 1, 0, 0, 1, 1]"
180,9.065035106148391,7.32120907331162,16.38624417946001,0.06926702195555162,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
181,0,2,2,0.08045651916068558,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
182,125.29449618409873,35.78219690600574,161.07669309010447,0.03421189398446936,"[1, 1, 1, 0, 0, 0, 1, 1, 0, 1]"
183,102.25383761668944,35.461547716267134,137.71538533295657,0.03124074012277392,"[0, 1, 1, 1, 1, 0, 1, 0, 0, 0]"
184,3,8,11,0.06228003780572505,"[1, 1, 0, 1, 1, 0, 0, 0, 1, 0]"
185,46.120184638162264,18.11201491989923,64.2321995580615,0.03716146702309245,"[0, 0, 1, 0, 1, 1, 1, 0, 0, 1]"
