from,to,w
0,1,6.347977893869088
0,127,1
0,1088,1
0,2506,1
1,0,8.86268524454538
1,2,4.099079360352886
1,12,3.692067725835363
1,384,1
1,633,1
1,1332,1
1,4430,1.3569848466445729
1,4613,1
1,6986,1
1,7994,1
1,8170,1
1,9454,1
1,13546,1
1,13976,1
1,17871,1
2,1,3.5751001158359004
2,3,3.218276834295963
2,48,1.5394369715469671
2,312,1
2,426,1
2,837,1
2,2442,1
2,3484,1
2,11669,1
2,12659,1
2,16275,1
2,18570,1
3,2,4.843696416298783
3,4,3.912132429558121
3,36,1.301487202707348
3,66,2.9407093078226927
3,136,1.4975815420519132
3,201,1.565998661088605
3,2103,1
3,3090,1
3,3896,1
3,4255,1
3,9274,1
3,9964,1
3,11094,1
3,11548,1
3,12591,1
3,18302,1
4,3,1.2389643759404612
4,5,1.3200833004825145
4,546,1
4,2597,1
4,3046,1
4,3392,1
4,4927,1
4,9274,1
4,9964,1
4,11094,1
4,11548,1
4,13143,1
4,15383,1
4,18302,1
5,4,1.2875083008567716
5,6,1.0984001342768586
5,294,1
5,497,1
5,549,1
5,926,1
5,1569,1
5,6267,1
5,9321,1
5,11851,1
5,16275,1
6,5,1.6916995155219534
6,7,1.5072793359288672
6,24,1.108645925549073
6,6544,1
6,9274,1
6,11548,1
7,6,1.8361876643686537
7,8,1.414026646482072
7,26,1
7,31,1.4391343709802134
7,43,6.778579789220057
7,48,1.1774399913494595
7,66,1
7,83,1
7,963,1
7,3672,1
7,4252,1
7,6502,1
7,6765,1
8,7,1.1551495727649292
8,11548,1
9,0,1
10,4,1
10,12,1
10,22,1.0543256190547632
10,37,1
10,56,1
10,71,1
10,828,1
10,1527,1
10,1613,1
10,1918,1
10,3736,1
10,6248,1
10,8559,1
11,4,1
11,12,1
11,6097,1
11,8917,1
12,7,1.0237881111984999
12,2,1.1061413998290068
12,3,1.0646700131902893
12,4,1.2293533442069688
12,8,1.1868939129489144
12,19,1.071992985507557
12,88,1
12,91,1.0489954097871668
12,278,1
12,288,1
12,338,1.06153470666697
12,416,1.043976995290531
12,1422,1.0308759976790682
12,1548,1.0134778374981561
12,1653,1
12,2298,1.0150137988283543
12,2558,1.0060696189465395
12,2624,1.0109212159688667
12,3097,1
12,3903,1.0075870236831743
12,4177,1.0206722888956858
12,4490,1.0119987217494955
12,4658,1
12,4957,1.0091963923432417
12,5594,1
12,6300,1
12,6497,1
12,6794,1.0086708842093421
12,9991,1
12,10805,1
12,10851,1.0110317048595203
12,12004,1
12,12744,1
12,12771,1
12,14154,1
12,15718,1
12,15722,1
12,15779,1
12,16830,1
12,17443,1
12,18094,1
12,18104,1
12,18786,1
13,5,1
13,26,1
14,12,3.049329367626672
14,5,1.1495080064911765
14,18,1.0648051055189847
14,22,3.566346562129373
14,25,2.3051206403411646
14,26,1
14,35,1.1148183083157155
14,42,1.4263798362919669
14,55,1.6478699233116139
14,64,1
14,71,1.517395410032583
14,78,1.5226707083402617
14,124,4.252229382802059
14,127,1
14,131,1
14,140,1.0462126519481691
14,141,1.0466200167549704
14,164,1
14,172,1.056802946125505
14,199,1
14,241,1
14,247,1
14,275,1
14,295,1
14,301,1
14,319,1
14,363,1.046127195526781
14,423,1
14,436,1
14,481,1
14,484,1
14,508,1.047534208669501
14,538,1
14,541,1.1164951889756147
14,548,1
14,556,1
14,579,1
14,591,1
14,616,1
14,620,1
14,642,1
14,663,1
14,668,1
14,688,1
14,691,1.0307139677578958
14,696,1
14,697,1
14,699,1
14,711,1.1100123985576533
14,712,1
14,728,1
14,757,1.0635129778445238
14,788,1
14,813,1
14,819,1
14,839,1
14,878,1
14,910,1
14,932,1
14,1052,1
14,1087,1
14,1104,1
14,1121,1
14,1124,1
14,1138,1
14,1156,1
14,1211,1
14,1225,1
14,1237,1
14,1419,1
14,1489,1
14,1521,1
14,1549,1
14,1587,1
14,1630,1
14,1666,1
14,1699,1
14,1719,1
14,1738,1
14,1747,1
14,1808,1
14,1871,1
14,1974,1
14,2003,1
14,2071,1
14,2154,1.0610646947165723
14,2168,1
14,2191,1
14,2214,1
14,2220,1
14,2263,1
14,2315,1
14,2329,1
14,2354,1
14,2362,1
14,2364,1
14,2368,1
14,2382,1.045913083889108
14,2390,1
14,2409,1
14,2561,1
14,2577,1
14,2624,1.060932364728622
14,2633,1
14,2659,1
14,2663,1
14,2779,1
14,2869,1
14,2882,1
14,2887,1
14,2907,1
14,2938,1
14,2960,1
14,2962,1
14,3012,1
14,3032,1.0462126519481691
14,3065,1
14,3083,1
14,3108,1
14,3127,1
14,3155,1
14,3206,1
14,3245,1
14,3310,1
14,3318,1
14,3418,1
14,3473,1
14,3555,1.0420115017710627
14,3600,1
14,3602,1
14,3738,1
14,3756,1
14,3770,1
14,3912,1
14,3961,1
14,4039,1.041077912842817
14,4043,1
14,4081,1
14,4086,1
14,4096,1
14,4136,1
14,4145,1
14,4168,1
14,4192,1
14,4218,1
14,4269,1
14,4326,1
14,4327,1
14,4381,1
14,4456,1
14,4500,1.0538581823976934
14,4509,1.0426578325675406
14,4529,1
14,4536,1
14,4546,1
14,4552,1
14,4613,1
14,4648,1
14,4651,1
14,4696,1
14,4772,1
14,4801,1.0568671241154133
14,4820,1
14,4824,1
14,4865,1
14,4946,1
14,4990,1
14,4992,1
14,5045,1
14,5066,1
14,5139,1
14,5198,1
14,5214,1
14,5219,1
14,5296,1
14,5307,1
14,5324,1
14,5329,1
14,5411,1
14,5461,1
14,5543,1
14,5561,1
14,5564,1
14,5593,1
14,5607,1.0352909921381988
14,5705,1
14,5790,1
14,5797,1
14,5829,1
14,5876,1
14,5903,1
14,6098,1
14,6105,1
14,6121,1
14,6189,1
14,6232,1
14,6264,1
14,6271,1
14,6330,1
14,6404,1
14,6441,1
14,6520,1
14,6553,1
14,6580,1
14,6719,1
14,6728,1
14,6806,1
14,6925,1
14,7040,1
14,7130,1
14,7159,1
14,7231,1
14,7263,1
14,7295,1
14,7329,1
14,7470,1
14,7507,1
14,7556,1
14,7563,1
14,7591,1.0487857503983375
14,7601,1
14,7645,1
14,7681,1
14,7740,1
14,7768,1
14,7878,1
14,7905,1
14,7915,1
14,8010,1
14,8065,1
14,8128,1
14,8145,1
14,8146,1
14,8162,1
14,8226,1
14,8293,1
14,8299,1
14,8344,1
14,8443,1
14,8500,1
14,8576,1
14,8673,1
14,8681,1
14,8780,1
14,8853,1
14,8904,1
14,8947,1
14,9034,1
14,9177,1
14,9200,1
14,9226,1
14,9272,1
14,9385,1
14,9404,1
14,9419,1
14,9425,1
14,9489,1
14,9495,1
14,9516,1
14,9583,1
14,9613,1
14,9678,1
14,9809,1
14,9813,1
14,9993,1
14,10000,1
14,10113,1
14,10152,1
14,10181,1
14,10218,1
14,10295,1
14,10447,1
14,10577,1
14,10776,1
14,10843,1
14,10924,1
14,10959,1
14,11052,1
14,11120,1
14,11208,1
14,11214,1
14,11279,1
14,11324,1
14,11404,1
14,11495,1
14,11498,1
14,11563,1
14,11625,1
14,11633,1
14,11656,1
14,11695,1
14,11749,1
14,11800,1
14,11816,1
14,11916,1
14,11933,1
14,12102,1
14,12161,1
14,12171,1
14,12182,1
14,12193,1
14,12228,1
14,12278,1
14,12306,1
14,12349,1
14,12651,1
14,12656,1
14,12698,1
14,12704,1
14,12724,1
14,12838,1
14,12996,1
14,13056,1
14,13082,1
14,13149,1
14,13199,1
14,13414,1
14,13430,1
14,13456,1
14,13558,1
14,13621,1
14,13663,1
14,13729,1
14,13904,1
14,13997,1
14,14008,1
14,14056,1
14,14114,1
14,14162,1
14,14195,1
14,14243,1
14,14248,1
14,14264,1
14,14414,1
14,14723,1
14,14745,1
14,14766,1
14,14885,1
14,14907,1
14,14976,1
14,14998,1
14,15028,1
14,15036,1
14,15099,1
14,15103,1
14,15234,1
14,15273,1
14,15277,1
14,15432,1
14,15442,1
14,15455,1
14,15474,1
14,15539,1
14,15552,1
14,15556,1
14,15599,1
14,15619,1
14,15647,1
14,15833,1
14,15901,1
14,16048,1
14,16067,1
14,16258,1
14,16294,1
14,16352,1
14,16368,1
14,16614,1
14,16624,1
14,16652,1
14,16690,1
14,16713,1
14,16787,1
14,16904,1
14,16938,1
14,16959,1
14,17025,1
14,17031,1
14,17051,1
14,17083,1
14,17107,1
14,17129,1
14,17132,1
14,17167,1
14,17500,1
14,17502,1
14,17539,1
14,17549,1
14,17573,1
14,17619,1
14,17634,1
14,17692,1
14,17909,1
14,17921,1
14,17982,1
14,18060,1
14,18068,1
14,18176,1
14,18339,1
14,18425,1
14,18445,1
14,18483,1
14,18601,1
14,18729,1
14,18961,1
14,19049,1
14,19089,1
14,19382,1
14,19383,1
14,19429,1
14,19440,1
14,19578,1
14,19638,1
14,19646,1
14,19885,1
14,19996,1
15,5,1
16,7,1
16,3,1
16,0,1
16,18,1
16,56,1
16,164,1
16,262,1
16,1054,1
16,2137,1
17,8,1
18,3,1.018130523013875
18,0,1.076727005547474
18,12,1.313505321143231
18,4,1.0525681740963282
18,22,2.1998406733212676
18,23,1.3414664986876987
18,67,1
18,80,1.0441346784671282
18,85,1.080146113053801
18,414,1
18,612,1
18,711,1.0160956900794467
18,1583,1
18,1802,1
18,2007,1
18,2302,1
18,2356,1
18,2483,1
18,3276,1
18,4870,1
18,5025,1
18,5372,1
18,5676,1
18,7479,1
18,7708,1
18,10614,1
18,11100,1
18,11568,1
18,12597,1
18,14105,1
18,16577,1
18,18304,1
18,19325,1
18,19644,1
19,4,1.1592129465894423
19,2,1.1321649501341322
19,5,1.1517130757169636
19,22,2.632437919152429
19,43,2.62108853072359
