from,to,w
0,1,1
0,384,1
0,1039,1
0,1105,1
0,1397,1
0,1637,1
0,1661,1
0,2101,1
0,2367,1
0,2955,1
0,4663,1
0,5213,1
0,6024,1
0,6882,1
0,8899,1
0,10420,1
0,10541,1
0,11442,1
0,11529,1
0,11954,1
0,13602,1
0,14678,1
0,14805,1
0,15505,1
0,16501,1
0,16517,1
0,18195,1
0,18869,1
1,0,1
1,2,1
1,23,1
1,131,1
1,153,1
1,593,1
1,835,1
1,6462,1
2,1,1
2,3,1
2,36,1
2,51,1
2,90,1
2,959,1
2,1004,1
2,1724,1
2,5169,1
2,5756,1
2,12701,1
2,13549,1
3,2,1
3,4,1
3,19,1
3,303,1
3,859,1
3,864,1
3,4629,1
3,11129,1
4,3,1
4,5,1
4,9,1
4,574,1
4,665,1
4,1444,1
4,2664,1
4,3175,1
4,9821,1
4,11698,1
4,17638,1
5,4,1
5,6,1
5,13,1
5,27,1
5,28,1
5,57,1
5,70,1
5,113,1
5,1133,1
5,2563,1
5,2900,1
5,5077,1
5,6186,1
6,5,1
6,7,1
6,18,1
6,33,1
6,103,1
6,104,1
6,181,1
6,261,1
6,280,1
6,320,1
6,640,1
6,701,1
6,1912,1
6,2596,1
6,3290,1
6,8857,1
6,17630,1
7,6,1
7,8,1
7,3834,1
8,7,1
8,1956,1
8,10527,1
8,17188,1
9,4,1
9,10,1
9,11,1
9,12,1
9,16,1
9,30,1
9,34,1
9,40,1
9,42,1
9,45,1
9,60,1
9,81,1
9,86,1
9,98,1
9,125,1
9,136,1
9,139,1
9,142,1
9,147,1
9,177,1
9,191,1
9,198,1
9,206,1
9,223,1
9,226,1
9,230,1
9,238,1
9,300,1
9,335,1
9,360,1
9,364,1
9,368,1
9,398,1
9,405,1
9,408,1
9,421,1
9,422,1
9,455,1
9,467,1
9,487,1
9,492,1
9,501,1
9,581,1
9,612,1
9,634,1
9,672,1
9,715,1
9,725,1
9,844,1
9,860,1
9,963,1
9,987,1
9,1005,1
9,1109,1
9,1110,1
9,1113,1
9,1152,1
9,1153,1
