nid,Is,Os,S,V,D
0,28,28,56,0.7384632415714754,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
1,8,8,16,0.2084882885902951,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
2,12,12,24,0.6096303655672743,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
3,8,8,16,0.19790757372088907,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
4,11,11,22,0.4283634638757017,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
5,13,13,26,0.6732674779341131,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
6,17,17,34,0.4508450564847951,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
7,3,3,6,0.5406070154119789,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
8,4,4,8,0.7491926621231401,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
9,281,281,562,0.9792193045943272,"[0, 1, 1, 0, 0, 1, 1, 1, 0, 1]"
10,4,4,8,0.23745018286035957,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
11,3,3,6,0.29159226289918905,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
12,63,63,126,0.6545626586760066,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0]"
13,14,14,28,0.13442190098926288,"[0, 0, 1, 1, 0, 1, 1, 0, 0, 0]"
14,19,19,38,0.7993274213418703,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0]"
15,127,127,254,0.7254116900013935,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1]"
16,11,11,22,0.26353758154905216,"[0, 0, 0, 1, 0, 0, 1, 1, 1, 0]"
17,1,1,2,0.40918608218914165,"[1, 1, 0, 1, 0, 1, 0, 0, 0, 0]"
18,163,163,326,0.8950183880744974,"[0, 1, 1, 1, 1, 1, 1, 0, 0, 1]"
19,17,17,34,0.2561448414754218,"[0, 0, 0, 1, 1, 0, 1, 0, 0, 0]"
20,14,14,28,0.3999175547721816,"[0, 1, 0, 0, 0, 1, 1, 1, 1, 1]"
21,3,3,6,0.43926578022654994,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
22,5,5,10,0.2195488941425664,"[1, 0, 1, 1, 0, 0, 1, 0, 1, 1]"
23,378,378,756,0.862179759502663,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 1]"
24,144,144,288,0.7991304027134857,"[1, 1, 1, 1, 0, 0, 1, 1, 1, 1]"
25,9,9,18,0.6660671081984699,"[0, 1, 1, 1, 1, 0, 0, 1, 0, 0]"
26,13,13,26,0.23538755330186412,"[0, 0, 0, 0, 1, 1, 1, 1, 0, 0]"
27,2,2,4,0.41470398627141425,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]"
28,19,19,38,0.5747534841892974,"[1, 0, 1, 1, 0, 1, 1, 1, 0, 0]"
29,25,25,50,0.7901491052359213,"[1, 0, 1, 0, 1, 1, 0, 0, 1, 0]"
30,13,13,26,0.5006629170752642,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0]"
31,14,14,28,0.9599863842818628,"[0, 1, 0, 1, 1, 1, 0, 0, 1, 0]"
32,157,157,314,0.9721190576882707,"[1, 0, 1, 0, 1, 1, 1, 0, 1, 1]"
33,67,67,134,0.5146477087636577,"[0, 1, 0, 0, 1, 1, 1, 1, 0, 1]"
34,9,9,18,0.603431397139381,"[1, 0, 1, 0, 0, 1, 1, 0, 0, 1]"
35,1,1,2,0.01579149652343048,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
36,14,14,28,0.4088199207073494,"[0, 0, 1, 1, 0, 0, 0, 1, 1, 1]"
37,102,102,204,0.030233280553165653,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 0]"
38,59,59,118,0.03621167750052412,"[0, 1, 0, 0, 1, 1, 0, 1, 1, 1]"
39,7,7,14,0.25658595934627426,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
40,12,12,24,0.315082512073649,"[0, 0, 1, 1, 0, 0, 1, 0, 1, 0]"
41,3,3,6,0.8441924144298152,"[0, 1, 0, 0, 0, 1, 1, 1, 0, 0]"
42,1,1,2,0.5774925876909782,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1]"
43,48,48,96,0.7981954873018564,"[1, 1, 1, 0, 1, 1, 1, 0, 1, 0]"
44,120,120,240,0.30325187826373523,"[0, 1, 1, 1, 1, 1, 1, 0, 0, 1]"
45,5,5,10,0.4959667007390143,"[1, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
46,20,20,40,0.8160238493601578,"[1, 1, 1, 0, 1, 0, 0, 0, 0, 0]"
47,109,109,218,0.18510823772309415,"[1, 0, 0, 1, 1, 1, 1, 1, 1, 1]"
48,5,5,10,0.5953780833157842,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
49,2,2,4,0.9565665669551731,"[1, 1, 1, 0, 1, 1, 1, 1, 0, 0]"
50,13,13,26,0.6503018287384935,"[1, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
51,29,29,58,0.9198497624766901,"[1, 1, 1, 0, 1, 0, 0, 1, 0, 1]"
52,4,4,8,0.9624716531448194,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0]"
53,1,1,2,0.6072756637722585,"[0, 1, 1, 1, 0, 1, 0, 0, 1, 0]"
54,2,2,4,0.824278225409543,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
55,31,31,62,0.07425341551475373,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 1]"
56,42,42,84,0.028170113703682054,"[0, 1, 0, 0, 1, 1, 0, 1, 1, 0]"
57,138,138,276,0.8783569000215924,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1]"
58,2,2,4,0.3201594060594223,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
59,13,13,26,0.32356263018976905,"[1, 1, 0, 1, 0, 1, 0, 1, 1, 0]"
60,1,1,2,0.221569909187467,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
61,3,3,6,0.030388101610509977,"[1, 0, 0, 1, 1, 1, 0, 1, 1, 1]"
62,1,1,2,0.7009241155690543,"[0, 0, 1, 0, 0, 1, 0, 0, 1, 1]"
63,10,10,20,0.42180456958972,"[1, 0, 0, 1, 0, 1, 0, 1, 1, 0]"
64,15,15,30,0.4904876669191963,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0]"
65,7,7,14,0.9413496313221353,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
66,15,15,30,0.9711548458958614,"[1, 0, 1, 1, 0, 0, 1, 1, 1, 0]"
67,29,29,58,0.5685392693714745,"[1, 0, 1, 1, 1, 0, 1, 1, 0, 0]"
68,2,2,4,0.879689094585636,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
69,74,74,148,0.04780831470088165,"[1, 1, 1, 1, 1, 0, 0, 1, 1, 0]"
70,4,4,8,0.25039488911443286,"[0, 1, 0, 1, 1, 1, 1, 1, 0, 0]"
71,6,6,12,0.34217742587675937,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]"
72,4,4,8,0.30714761488900344,"[0, 0, 1, 1, 0, 0, 0, 1, 1, 0]"
73,9,9,18,0.2128432321216771,"[1, 0, 1, 1, 0, 1, 1, 0, 0, 0]"
74,54,54,108,0.9694543887122927,"[0, 1, 1, 1, 0, 1, 1, 0, 0, 1]"
75,27,27,54,0.3657582062976925,"[1, 0, 1, 1, 1, 1, 1, 1, 0, 0]"
76,3,3,6,0.0027993246549888884,"[0, 0, 1, 1, 0, 1, 0, 1, 0, 1]"
77,14,14,28,0.29058029136950003,"[0, 1, 1, 1, 0, 0, 0, 0, 1, 1]"
78,1,1,2,0.8073692936943926,"[0, 0, 0, 1, 1, 0, 1, 0, 0, 0]"
79,1,1,2,0.9449176420669202,"[1, 1, 1, 0, 1, 0, 0, 1, 1, 1]"
80,1,1,2,0.1916064205542487,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0]"
81,34,34,68,0.0639260665928969,"[1, 1, 1, 0, 1, 0, 1, 0, 1, 1]"
82,36,36,72,0.49832499004354447,"[1, 0, 0, 1, 1, 0, 1, 0, 1, 0]"
83,28,28,56,0.5638569291742724,"[0, 0, 1, 1, 0, 1, 1, 0, 1, 0]"
84,30,30,60,0.39891561539827636,"[1, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
85,2,2,4,0.5201109635232071,"[0, 1, 0, 1, 0, 1, 1, 0, 0, 1]"
86,1,1,2,0.9040320200169933,"[1, 1, 0, 1, 1, 0, 0, 0, 0, 1]"
87,1,1,2,0.9968023035403573,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 1]"
88,129,129,258,0.2895028350722971,"[0, 0, 1, 0, 1, 1, 1, 1, 1, 1]"
89,8,8,16,0.3695051199062631,"[0, 0, 1, 0, 0, 0, 1, 0, 1, 1]"
90,3,3,6,0.7540358792072126,"[0, 0, 1, 0, 0, 0, 0, 1, 1, 0]"
91,185,185,370,0.4629332390603207,"[0, 1, 1, 1, 1, 1, 1, 1, 0, 1]"
92,2,2,4,0.2112016707550416,"[1, 1, 0, 1, 0, 0, 1, 0, 0, 0]"
93,56,56,112,0.2144080032646708,"[1, 1, 0, 1, 0, 1, 0, 1, 1, 1]"
94,32,32,64,0.9037478609843681,"[1, 1, 1, 0, 1, 0, 1, 1, 1, 0]"
95,37,37,74,0.3682490746566369,"[1, 1, 1, 0, 1, 1, 0, 1, 1, 0]"
96,17,17,34,0.04791271465915725,"[1, 1, 1, 1, 0, 0, 1, 0, 1, 1]"
97,65,65,130,0.6337969976650719,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 1]"
98,32,32,64,0.21776127984244686,"[1, 1, 1, 0, 0, 1, 1, 0, 1, 1]"
99,1,1,2,0.4212963449571697,"[0, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
100,1,1,2,0.5004124960045101,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
101,6,6,12,0.48802029982199735,"[1, 0, 1, 1, 0, 1, 0, 0, 0, 0]"
102,4,4,8,0.23038187443767966,"[1, 1, 1, 0, 0, 1, 0, 1, 1, 1]"
103,4,4,8,0.3586271273575087,"[1, 1, 0, 1, 1, 1, 0, 1, 0, 1]"
104,3,3,6,0.6833841887302162,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
105,56,56,112,0.3188994843592662,"[1, 0, 1, 0, 0, 1, 0, 1, 1, 1]"
106,19,19,38,0.46436168585711446,"[0, 0, 0, 1, 1, 1, 1, 1, 0, 0]"
