nid,Is,Os,S,V,D
0,450.1870822658472,70.30091109121712,520.4879933570643,0.6228223430532872,"[1, 1, 0, 0, 0, 0]"
1,532.0100234732654,119.20731811080908,651.2173415840745,0.6131772333097015,"[0, 1, 1, 0, 0, 0]"
2,442.2006647649783,268.2248498682857,710.4255146332639,0.6824232702212188,"[0, 0, 1, 1, 0, 0]"
3,187.41944629124515,147.30215346577165,334.7215997570168,0.6421210541530801,"[0, 0, 0, 1, 1, 0]"
4,275.2959583251193,46.99055052048223,322.2865088456015,0.2244307956604651,"[0, 0, 0, 0, 1, 1]"
5,90.09278245634977,52.146112442935326,142.2388948992851,0.06253988481002931,"[1, 1, 1, 1, 0, 1]"
6,112.76921781460736,12.097769084884924,124.86698689949228,0.006196834024997738,"[1, 0, 0, 0, 0, 1]"
7,23,8.108979090131037,31.108979090131037,0.00992976121658487,"[1, 1, 0, 0, 0, 0]"
8,8,12.25342732933979,20.25342732933979,0.04470972163188683,"[0, 1, 1, 0, 0, 0]"
9,4,7.023892483929039,11.023892483929039,0.013369099132537726,"[1, 0, 0, 0, 1, 0]"
10,2,3.0159654266004994,5.015965426600499,0.02517629668681365,"[0, 0, 1, 0, 0, 0]"
11,1,2.0577362792355247,3.0577362792355247,0.0971052604411492,"[0, 0, 1, 1, 0, 0]"
12,196.56393113967664,27.244488610054216,223.80841974973086,0.027407830863288823,"[1, 0, 1, 1, 0, 0]"
13,2836.828246030546,8.870056764442285,2845.698302794988,0.050764573383320744,"[0, 1, 1, 1, 1, 0]"
14,0,290.80732926574296,290.80732926574296,0.0667755911964763,"[1, 1, 0, 1, 1, 0]"
15,11,7.082426707668239,18.08242670766824,0.041366459082754076,"[0, 1, 0, 0, 1, 0]"
16,417.2854680550094,17.573114654168183,434.8585827091776,0.09619915457488654,"[1, 0, 1, 1, 1, 0]"
17,0,2,2,0.015396623553751987,"[0, 1, 1, 0, 0, 1]"
18,78.17423767577885,9.454015472266697,87.62825314804556,0.05495807962529847,"[0, 1, 0, 1, 0, 1]"
19,0,1,1,0.0053369300700881195,"[1, 0, 1, 0, 1, 1]"
20,0,3,3,0.01113507960753804,"[1, 0, 1, 1, 0, 0]"
21,4,2,6,0.04354933019934906,"[0, 1, 1, 1, 1, 1]"
22,0,2,2,0.07920319006814322,"[0, 0, 0, 1, 1, 0]"
23,21,27.363022712877175,48.363022712877175,0.02434601054980881,"[0, 0, 1, 1, 1, 0]"
24,0,35.608709964863564,35.608709964863564,0.09986834916159765,"[1, 0, 0, 1, 1, 0]"
25,4593.746317771933,372.81097418539554,4966.557291957329,0.09465266390578525,"[1, 1, 1, 1, 1, 1]"
26,8,14.354365429802117,22.354365429802115,0.07966730859303811,"[0, 0, 0, 0, 0, 1]"
27,0,1,1,0.0024342257644687226,"[0, 0, 0, 1, 1, 0]"
28,91.05270722629109,21.104644760459664,112.15735198675075,0.09964870579943536,"[0, 0, 1, 0, 0, 1]"
29,0,1,1,0.004657904733032875,"[0, 0, 1, 1, 1, 0]"
30,234.6394423903316,36.882044424896534,271.5214868152281,0.04233153143078075,"[1, 0, 1, 1, 0, 0]"
31,0,2,2,0.01708777243514542,"[1, 0, 0, 0, 0, 1]"
32,17.06434384144216,14.201378595601293,31.26572243704345,0.016620967389801483,"[0, 0, 0, 1, 0, 0]"
33,444.4419555854606,42.967811626059884,487.4097672115205,0.04555248735810716,"[1, 1, 0, 1, 1, 1]"
34,0,1,1,0.04308019107989686,"[1, 1, 0, 0, 0, 1]"
35,125.9056944020813,30.155869973394353,156.06156437547565,0.0637325811388576,"[1, 1, 0, 0, 0, 1]"
