from,to,w
0,1,12.077127316089097
0,20,1.7597824360080148
0,14537,1
1,0,5.527276654733958
1,2,2.823110464826953
1,23,1.133431114108997
1,12512,1
1,12887,1
2,1,2.9045400743694305
2,3,2.149835744455025
2,24,1
2,35,2.9211698266123762
2,69,1.304370926103375
2,70,1.5807697197466413
2,588,1
2,613,1
2,830,1
2,890,1
2,1671,1
2,2242,1
2,2947,1
2,3399,1
2,3680,1
2,3876,1
2,4043,1
2,4517,1
2,5201,1
2,5290,1
2,7778,1
2,9235,1
2,9587,1
2,9923,1
2,9939,1
2,10269,1
2,10944,1
2,12927,1
2,15867,1
2,16927,1
2,18066,1
3,2,6.626725039912619
3,4,8.18397231798954
3,23,2.0121495130802955
3,48,6.6814545657684326
3,58,4.749239585637742
3,78,1
3,269,1
3,581,1
3,744,1.4778903015690856
3,1328,1
3,1457,1
3,2537,1
3,2679,1
3,2973,1
3,4603,1
3,6440,1
3,6590,1
3,6606,1
3,7370,1
3,8773,1
3,8845,1
3,10527,1
3,11125,1
3,12276,1
3,14062,1
3,15412,1
3,16233,1
3,18579,1
4,3,4.039810103509806
4,5,4.11017336723873
4,61,2.0606517754327314
4,179,1.261709864499674
4,338,1
4,890,1
4,896,1
4,1461,1.6661635638222827
4,5236,1
4,9587,1
4,9939,1
4,10944,1
4,17909,1
4,18066,1
4,18076,1
5,4,7.971889515244905
5,6,5.4028748548645975
5,23,3.1437555589797093
5,85,2.178030768491095
5,166,1
5,191,1.8267707333495071
5,223,1
5,743,1
5,1411,1
5,1457,1
5,3559,1
5,4107,1
5,5350,1
5,6606,1
5,7778,1
5,9235,1
5,9923,1
5,14805,1
5,17757,1
5,18567,1
6,5,3.3130093418348885
6,7,2.069596959088082
6,63,1
6,223,1
6,890,1
6,2679,1
6,5200,1
6,9939,1
6,10944,1
6,11740,1
6,12276,1
6,18579,1
7,6,1.2486804875081605
7,8,1.151473262769966
7,23,1.0757236639233039
7,179,1.054534945097801
7,1457,1
7,7778,1
7,9939,1
7,10944,1
7,18579,1
8,7,1.1358029499432978
8,12,1.1517307485783614
8,21,1.0365542220987705
8,1122,1
8,9939,1
9,3,1.0628512227475517
9,14,1
9,15,1.0320601630869413
9,21,1.0419100321699222
9,23,1.024591147585737
9,46,1
9,60,1.0424083866023188
9,116,1
9,560,1
9,1298,1
9,1457,1
9,1558,1
9,2037,1
9,2230,1
9,2750,1
9,2928,1
9,3284,1
9,7778,1
9,8130,1
9,10119,1
9,10880,1
9,13031,1
9,14716,1
10,4,1
10,11,1.0057306756793545
10,9939,1
10,10944,1
10,18579,1
11,1,1.1504870429855325
11,5,1.3121447577347438
11,4,1.4048643688835862
11,70,1.131921087624549
11,216,1.0657349430098026
11,239,1.0123934227646727
11,535,1.0373747968179885
11,1339,1.0264445895065073
11,1796,1
11,2838,1
11,4716,1
11,5778,1
11,5941,1
11,9125,1
11,11743,1
11,12880,1
11,16854,1
12,7,1.2500747046322527
12,6,1.1632297367428375
12,4,1.542754796296974
12,13,13.162148551508334
