nid,Is,Os,S,V,D
0,95.98901328988086,14.836909752097112,110.82592304197797,0.6549957165809611,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
1,69.07931449359619,11.48381823366991,80.5631327272661,0.2562586730140338,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
2,150.69602782083527,36.86068629128685,187.5567141121221,0.2646361570882335,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
3,43.52314229566669,51.731431323957715,95.25457361962441,0.7728634513694281,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
4,132.93081514769324,23.138508674503225,156.06932382219645,0.5301886520693301,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
5,69.6935460316118,35.52332143092981,105.21686746254161,0.9358488916473406,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
6,56.92719133449146,15.382606300922971,72.30979763541443,0.6059501771598476,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
7,28.493168376361183,9.53041235929923,38.02358073566042,0.11784377985129113,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
8,10.196566120818776,5.324087920620429,15.520654041439204,0.08773013303704902,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
9,24.477048045678124,23.203820952192473,47.6808689978706,0.04482115332847017,"[0, 0, 1, 1, 0, 0, 0, 1, 1, 1]"
10,0,5.005730675679354,5.005730675679354,0.0032363349325164326,"[0, 0, 1, 1, 1, 1, 1, 0, 0, 0]"
11,138.79898672507863,18.14136500932738,156.94035173440602,0.06123110210036148,"[0, 0, 1, 0, 0, 1, 1, 0, 0, 0]"
12,679.2061859039871,95.01379554428131,774.2199814482684,0.054529170039839314,"[0, 1, 1, 0, 1, 0, 0, 1, 0, 0]"
13,9677.753561621883,1174.4447467922666,10852.19830841415,0.06473791855277838,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 1]"
14,28.21846740633341,276.5628695390677,304.7813369454011,0.05789748753456986,"[0, 0, 1, 1, 1, 0, 0, 1, 0, 0]"
15,639.1561844290961,200.08077992521572,839.2369643543118,0.07742124742697126,"[0, 1, 0, 1, 1, 0, 0, 1, 0, 1]"
16,519.5457283366054,147.32696529577564,666.872693632381,0.07299611126594624,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 1]"
17,5314.49832738262,159.25799725689254,5473.756324639513,0.052813073389497645,"[0, 1, 1, 1, 1, 1, 1, 1, 0, 0]"
18,1,3,4,0.012825456127959961,"[1, 1, 1, 0, 0, 0, 1, 1, 1, 0]"
19,1,2,3,0.07962579340340659,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
20,120.00057772339855,59.25033774854698,179.25091547194552,0.019671415000983045,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
21,954.5859010331086,1243.530729153048,2198.1166301861567,0.4579824420675851,"[1, 0, 1, 0, 1, 1, 0, 0, 1, 0]"
22,0,2,2,0.03588770068125341,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
23,106.90123272818272,51.88107571306689,158.7823084412496,0.07247823974773254,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
24,1,2,3,0.037334512024868954,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25,348.46626855774394,376.2425304977723,724.7087990555162,0.0612705159698112,"[0, 0, 0, 1, 0, 1, 1, 0, 1, 1]"
26,767.1553410888445,306.27168223580946,1073.4270233246539,0.058417723013566514,"[0, 1, 1, 1, 1, 0, 1, 1, 1, 0]"
27,33.07348497310245,26.291427626561322,59.364912599663775,0.017098763533402256,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 1]"
28,639.0864127214401,268.20710068735025,907.2935134087903,0.0651196973113804,"[1, 1, 1, 0, 0, 1, 0, 0, 1, 1]"
29,2892.79892884949,216.6149524822178,3109.4138813317077,0.01915555155462434,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
30,50.339382356619495,17.265915163074176,67.60529751969366,0.07932236182163693,"[1, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
31,0,9,9,0.07478399845416378,"[1, 1, 1, 0, 0, 0, 0, 1, 0, 0]"
32,0,6,6,0.08031395434206512,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
33,0,2,2,0.09544295039763218,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 1]"
34,13.104742634311089,7.093467096370414,20.198209730681505,0.08087172226823797,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 1]"
35,715.3481173129466,218.10147513291824,933.4495924458648,0.04644490929557035,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 1]"
36,1120.4698880406388,226.80304797505866,1347.2729360156975,0.06303778473172755,"[1, 1, 1, 0, 1, 1, 1, 0, 0, 1]"
37,54.16305514220376,50.775167983918635,104.9382231261224,0.05747446785768978,"[0, 0, 1, 0, 1, 0, 0, 1, 1, 1]"
38,0,1,1,0.006149112893608699,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0]"
39,0,13.070619888947608,13.070619888947608,0.06428732240360735,"[1, 0, 1, 0, 1, 0, 1, 1, 0, 1]"
40,0,24.01795958179997,24.01795958179997,0.013813516391509212,"[0, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
41,0,3,3,0.0015844573721384425,"[0, 1, 1, 0, 1, 0, 1, 0, 0, 0]"
42,0,2,2,0.007420735868221229,"[1, 1, 1, 1, 1, 0, 1, 1, 1, 0]"
43,100.2360137323751,52.971187222097505,153.2072009544726,0.07530835971831978,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
44,0,4,4,0.045030150174417055,"[0, 0, 0, 0, 1, 1, 1, 1, 0, 0]"
45,0,12,12,0.017870446770499787,"[0, 1, 1, 0, 0, 0, 1, 1, 1, 0]"
46,93.82463266130452,29.77152145313625,123.59615411444076,0.08802607665682838,"[0, 1, 1, 1, 0, 0, 1, 1, 1, 0]"
47,7.039020302661545,12.067459824252763,19.10648012691431,0.07850476157994599,"[0, 0, 1, 0, 1, 1, 1, 1, 1, 0]"
48,3248.1137729560105,655.8009435850611,3903.9147165410714,0.07426371805358062,"[0, 1, 1, 1, 1, 1, 0, 1, 0, 1]"
49,254.76224287338593,53.89253543244831,308.65477830583427,0.05021843393310049,"[0, 0, 1, 0, 0, 1, 0, 0, 1, 1]"
50,3,5,8,0.06402271434592716,"[0, 0, 0, 0, 0, 1, 1, 0, 1, 1]"
51,676.989983456973,393.68028138910205,1070.670264846075,0.04389698746085627,"[0, 1, 1, 1, 1, 1, 1, 1, 0, 1]"
52,13.03457126579773,19.392194366138295,32.42676563193602,0.07339535114931245,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
53,32,13.467961689970451,45.46796168997045,0.05476701762110542,"[1, 0, 0, 0, 1, 0, 1, 1, 0, 1]"
54,125.47313743601096,56.04458228580745,181.51771972181842,0.09437959990152983,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
55,30.071859202119594,2.3161443305253733,32.388003532644966,0.08579292349031525,"[0, 1, 0, 1, 0, 0, 1, 0, 1, 0]"
