from,to,w
0,1,5.170868647849897
1,0,6.751030299479828
1,2,3.5135748216793243
1,941,1
1,10935,1
1,15683,1
2,1,3.330824154938128
2,3,1
2,162,1
2,459,1
2,793,1
2,6469,1
2,7413,1
2,8105,1
2,8378,1
2,8841,1
2,17221,1
3,2,1
3,4,2.814864225274909
3,17221,1
4,3,1.1341868659112404
4,5,1.1199646170934694
4,11,1.2052023994503358
4,19,1.0286245663636842
4,22,1.3219713608104615
4,165,1
4,198,1.0272712115661948
4,228,1
4,452,1
4,758,1
4,868,1
4,1109,1
4,2516,1
4,3657,1
4,6501,1
4,11709,1
5,4,3.8512886196902025
5,6,4.192132633514895
5,65,45.736913272874496
5,96,2.0549098812264353
5,397,1
5,505,1
5,533,1.5746830467868231
5,585,1
5,788,1
5,847,1
5,883,1.3421198858849357
5,886,1
5,1032,1
5,1363,1
5,2280,1
5,2413,1
5,2554,1
5,2659,1
5,2897,1.3635283041686268
5,2953,1
5,3260,1
5,3539,1
5,4066,1
5,4313,1
5,4569,1
5,4717,1
5,5301,1
5,5877,1
5,6349,1
5,6659,1
5,6839,1
5,8275,1
5,10519,1
5,11452,1
5,11533,1.3316513328792174
5,12919,1
5,14443,1
5,14486,1
5,14563,1
5,16093,1
5,16894,1
5,17022,1
6,5,5.15558769201191
6,7,3.8892288308614043
6,47,1
6,76,6.855063680601773
6,227,1
6,249,1
6,271,1
6,358,1
6,391,1
6,655,1
6,837,1.5843972842488308
6,1140,1
6,1467,1
6,1776,1
6,2015,1
6,2965,1
6,3785,1
6,4469,1
6,5402,1
6,6841,1
6,9992,1
6,10481,1
6,11074,1
6,12658,1
6,16693,1
6,17626,1
6,18348,1
7,6,2.6972797907694703
7,8,2.075283035941612
7,9,5.192050106863572
7,11,5.797299141133025
7,16,3.4988486044639857
7,30,15.722524468639206
7,49,1
7,80,1
7,126,1
7,156,1
7,273,1.2644168855221523
7,429,1.2231076607897633
7,592,1
7,596,1
7,615,2.0951965728409134
7,814,1.6644739542900004
7,1701,1
7,1735,1
7,1748,1
7,1792,1
7,2491,1
7,3030,1
7,3633,1
7,4154,1.2900399590266922
7,4383,1
7,4540,1
7,4694,1
7,6202,1
7,6229,1.2762285324063736
7,6663,1
7,6790,1
7,7014,1
7,7877,1
7,8166,1
7,8296,1
7,8608,1.241699965855577
7,9368,1
7,10437,1
7,11538,1
7,11814,1
7,12644,1
7,12799,1
7,13470,1
7,13993,1
7,16254,1
7,19820,1
7,19872,1
8,7,1.382359509569418
8,12,1.054841866951636
8,81,1.1339386036047057
8,163,1
8,533,1.3157839351048197
8,3856,1
8,12954,1
8,15739,1
8,17050,1
9,5,4.770862149354949
9,6,2.624150302622253
9,10,3.879888679831529
9,107,1
9,120,1
9,131,1
9,138,4.298635383531348
9,150,1.1442992945202566
9,277,1
9,338,1
9,533,2.2501226302699724
9,588,1.2491135634968558
9,659,1
9,684,1.715649907253806
9,962,1
9,1214,1.259682245843313
9,1314,1
9,1370,1
9,1580,1
9,1836,1
9,1857,1
9,2079,1.224778267750231
9,3079,1
9,3420,1
9,3537,1
9,4125,1
9,4208,1.2242652752281504
9,4519,1
9,5627,1
9,5680,1
9,6157,1
9,7379,1
9,7979,1
9,8006,1
9,8133,1
9,8314,1
9,8341,1
9,8501,1
9,9569,1
9,10260,1
9,10712,1
9,11355,1.128199790034416
9,11525,1
9,11890,1
9,12646,1.1803741181503207
9,13961,1
9,14139,1
9,14617,1
9,16832,1
9,16861,1
9,16942,1
9,17390,1
9,18308,1
9,18794,1
9,18819,1
9,19185,1
9,19984,1
10,8,1.2549506911416008
10,7,1.1765329048205728
10,1151,1
10,9301,1
11,3,5.0069494209292085
11,8,2.4192730754318275
11,10,5.717758703438779
11,9,12.107337599156818
11,23,2.5822293229980717
11,67,13.414738782013634
11,73,8.69993529893029
11,77,2.116300499864007
11,129,7.6790519565854565
11,205,1
11,243,1.2388228506396761
11,688,1
11,837,1.37358341710419
11,840,1
11,1011,1.2495429212208107
11,1282,1
11,1350,1
11,1432,1
11,1442,1
11,1494,1.3937659842379688
11,1781,1
11,2026,1.3338874969526795
11,2347,1
11,2717,1
11,3262,1.2885541963483722
11,3531,1.4470499889495718
11,4208,1
11,4511,1
11,4550,1
11,4649,1
11,5142,1
11,5788,1
11,6032,1
11,6632,1
11,7461,1
11,7657,1
11,7835,1
11,8655,1
11,8751,1
11,9396,1
11,11292,1
11,12285,1
11,12289,1
11,13761,1
11,14950,1
11,15618,1
11,18069,1
11,19060,1
12,1,1
12,9,1.2970697737955346
12,11,1.3696264200687935
12,14,1
12,22,1.6956052333592844
12,85,1.3119520829932183
12,237,1
12,263,1
12,284,1
12,291,1
12,620,1
12,716,1
12,1326,1
12,2275,1
12,3406,1
12,3718,1
12,4147,1
12,8260,1
12,8590,1
12,9179,1
12,10320,1
12,13723,1
12,17035,1
12,18635,1
13,4,1
14,5,1.1908814449379441
14,9,1.3468657906641557
14,22,1.5506051587420189
14,23,1
14,59,1
14,101,1
14,165,1
14,197,1
14,234,1
14,378,1
14,513,1
14,656,1
14,667,1
14,1186,1
14,1230,1
14,4927,1
14,8072,1
14,9744,1
14,11391,1
14,13065,1
15,6,1
15,19,1
15,25,1
15,30,1.0074537970414141
15,187,1
15,1051,1
15,1106,1.004015780954047
15,1117,1
15,1410,1
15,1591,1
15,2770,1
15,3692,1
15,6387,1
15,7543,1
15,8384,1
15,10050,1
15,13971,1
15,14324,1
15,14620,1
15,15473,1
15,17483,1
16,8,2.0176497360684573
16,9,8.526233195321772
16,5,4.001513888265871
16,1,1.4936900081410318
16,59,6.884788364346168
16,231,2.3771857280110296
16,407,1.7446623549915745
16,453,1
16,557,1
16,561,1
16,950,1
16,971,1
16,1169,1
16,1263,1
16,1561,1
16,2036,1
16,2335,1
16,2487,1
16,2936,1
16,3166,1
16,3901,1
16,4083,1
16,4127,1
16,5262,1
16,5990,1
16,6336,1
16,7259,1
16,8260,1
16,10053,1
16,10064,1
16,10281,1
16,13712,1
16,14475,1
17,4,1
17,59,1
17,95,1
17,128,1
17,1731,1
17,17391,1
18,4,1
19,6,1
19,10,1
19,7,1
19,5,1
19,27,1
19,76,1.4300220742433263
19,95,1
20,9,1
20,173,1
21,2,1
21,29,1
21,877,1
22,7,14.440832588661847
22,11,41.50404893825302
22,8,8.942428659084483
22,9,24.696295464523587
22,23,8.699606343462422
22,40,2.089201493606224
22,76,42.08949496275284
22,89,1
22,118,7.8790248500655276
22,134,1
22,168,1.774954834783939
22,247,12.18447379956963
22,284,1
22,300,11.627819742158119
22,304,2.159281799420346
22,322,17.151922670680882
22,395,8.404685715580882
22,465,1
22,493,1.2126034594504635
22,523,6.392546223868218
22,575,1.7347516149870834
22,582,1.2657543243130793
22,679,1
22,722,3.8153465593707816
22,767,1.6757507706737744
22,787,2.4891592516161176
22,794,2.249243747716895
22,868,3.4088848539982104
22,878,1.6542980780063758
22,975,44.70101587640891
22,981,1.1063017297252318
22,990,1.3543390990841058
22,1002,1.2126034594504635
22,1046,1.5016654035175043
22,1056,2.7049254912227063
22,1073,1
22,1079,1
22,1136,1
22,1218,2.725867596484688
22,1261,1
22,1290,1.4946577716476472
22,1307,3.141511090633904
22,1419,1.2368672247522277
22,1463,1.2657543243130793
22,1533,1
22,1542,1.2277894208397824
22,1571,1.5407908724832347
22,1597,1
22,1622,1
22,1645,1.2126034594504635
22,1657,1.7105975083338356
22,1671,1
22,1728,4.126666312152086
22,1759,4.613866997773642
22,2012,1
22,2021,1
22,2033,1.6428438971012904
22,2078,2.2405199536959595
22,2134,1
22,2136,2.034159196246342
22,2184,2.565828931330986
22,2332,1.2657543243130793
22,2337,1.0687196060585902
