nid,Is,Os,S,V,D
0,51.47787445169366,5.170868647849897,56.64874309954355,0.5183835142471279,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
1,92.32119417555828,13.264605121159152,105.58579929671743,0.7369173457193358,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
2,82.68703723763127,13.330824154938128,96.0178613925694,0.6510708298430044,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
3,39.1906968554249,4.814864225274909,44.00556108069981,0.464788176205597,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
4,103.27761201608769,16.837221021195386,120.11483303728308,0.03115231745475111,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
5,216.71342938332637,95.44722697702564,312.160656360352,0.7982797337315168,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
6,158.05413177058057,40.484277487723915,198.53840925830448,0.9414004158795529,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
7,229.28237762846112,79.03844867854234,308.3208263070035,0.4833999317111538,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
8,100.72432316010017,9.886923915230579,110.61124707533075,0.23539772849950857,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
9,530.610941779951,71.9500216078874,602.5609633878383,0.36074823630064146,"[0, 1, 0, 0, 0, 0, 1, 0, 1, 0]"
10,198.32100080653794,4.431483595962174,202.7524844025001,0.04290704269511228,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 0]"
11,566.3320364869555,101.06878151480136,667.4008180017569,0.5771083926967446,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0]"
12,4.0548418669516355,25.67425351021683,29.729095377168463,0.44259345212910617,"[1, 1, 0, 1, 0, 0, 0, 0, 1, 0]"
13,0,1,1,0.503589679868478,"[0, 0, 1, 1, 0, 1, 0, 1, 0, 0]"
14,2,21.08835239434412,23.08835239434412,0.24391088957906512,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0]"
15,0,21.011469577995463,21.011469577995463,0.008031561908094259,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 0]"
16,196.41138806981746,53.0457232751459,249.45711134496338,0.5834518278030376,"[0, 1, 0, 0, 0, 1, 1, 0, 1, 0]"
