from,to,w
0,1,28.429064467079698
0,16,12.011447300028399
0,365,1
0,384,1
0,754,1
0,780,1
0,1125,1
0,1894,1
0,2084,1
0,2170,1.4740245432002435
0,2173,1
0,2176,1
0,2786,1
0,3126,1
0,4498,1
0,4617,1
0,5111,1
1,0,2.5248311287117144
1,2,1.68995361676322
1,235,1.1225673789631765
1,393,1
1,403,1
1,900,1
1,2300,1
1,3785,1
1,5004,1
2,1,7.288096232052444
2,3,4.4231760427141715
2,19,1
2,23,1
2,671,1
2,828,1
2,880,1
2,1117,1
2,1237,1
2,1358,1
2,1507,1
2,1928,1
2,1955,1
2,2241,1
2,2398,1
2,2749,1
2,3664,1
2,3907,1
2,4471,1
2,4510,1
2,4829,1
2,5279,1
2,5645,1
2,5814,1
2,5818,1
3,2,2.3847739672342265
3,4,1.64469282650725
3,7,1.935980743009462
3,8,1.486776427660326
3,11,2.372821165858817
3,13,3.0649802566424595
3,51,1
3,60,1
3,319,1
3,490,1
3,543,1.0790572802473348
3,557,1
3,600,1
3,747,1
3,1093,1
3,1872,1
3,2367,1
3,3353,1
3,3364,1
3,3427,1
3,3851,1
3,4661,1
3,5297,1
3,5533,1
3,5703,1
3,5735,1
4,3,1.6429931915827347
4,5,1.5341034036265566
4,21,2.8579341685326236
4,58,1
4,393,1
4,403,1
4,1507,1
4,3498,1
4,4471,1
4,4510,1
4,5645,1
5,4,2.599359849686304
5,172,1.412916334577873
5,671,1
6,4,1.0822070479128292
6,0,1.2334955484836183
6,14,1.088626113756083
6,30,1
6,66,1
6,74,1
6,227,1
6,298,1
6,337,1
6,393,1
6,398,1
6,606,1
6,956,1
6,1941,1
6,2051,1
6,2975,1
6,4471,1
6,4790,1
6,5645,1
7,2,1.1391304074868653
7,1,1.4077957560814662
7,11,2.5864511971524253
7,21,2.6933487427128178
7,45,1.1761156145758045
7,53,1.3233451297104153
7,65,1.0603957684627936
7,193,1.0115529207975127
7,286,1.028890609175364
7,333,1.0198799297610763
7,435,1
7,559,1
7,1115,1
7,1279,1
7,1702,1
7,2190,1
7,2427,1
7,2443,1
7,2623,1
7,3627,1
7,3796,1
7,4256,1
7,5179,1
7,5645,1
8,2,2.9070179854158003
8,5,2.4601295937715166
8,1,3.0638873537909563
8,9,1.1488778206181385
8,13,10.559587602569234
8,23,1.1282936814643503
8,42,2.872181383681689
8,50,1.160933345640734
8,66,1.9625093796961073
8,101,1
8,126,1
8,134,1
8,172,1.3598777178396235
8,175,1
8,183,1
8,205,1.4435224181122885
8,225,1
8,265,1
8,297,1
8,302,1
8,345,1.0310242376091454
8,402,1.1308097036497573
8,447,1
8,540,1.1372306352568313
8,627,1.1814817912566664
8,646,1.3436311743402212
8,651,1
8,710,1
8,790,1
8,796,1
8,978,1.1116872553929236
8,1218,1
8,1540,1
8,1695,1.151836055962605
8,1709,1
8,1774,1
8,1890,1.1240969504365816
8,2100,1
8,2173,1
8,2254,1
8,2414,1
8,2853,1
8,2963,1
8,2975,1
8,3129,1
8,3538,1
8,3772,1
8,3900,1
8,4508,1
8,4637,1
8,4892,1
8,5018,1
8,5149,1
8,5243,1
8,5286,1
8,5633,1
8,5729,1
8,5804,1
8,5981,1
9,1,2.3774256408039616
9,2,1
9,4,1
9,730,1
9,784,1
9,2239,1
10,0,1
11,8,2.963179483331872
11,1,3.6874339689328615
11,4,3.289641883175061
11,0,5.611106004574751
11,28,1.1950134083308968
11,34,5.134713484492778
11,82,2.332950201185623
11,143,2.019538219835807
11,154,1
11,178,2.1374069595249043
11,190,1
11,215,1.1017090300766235
11,251,3.009899437364305
11,301,1.0936434714037098
11,430,1.197843328447383
11,436,1.0739702036920897
11,483,1.0909599885732166
11,513,1
11,560,1
11,562,1
11,581,1
11,623,1
11,757,1
11,761,1.0871791686371057
11,789,1
11,845,1
11,895,1
11,939,1
11,962,1.0762817725574676
11,1012,1
