nid,Is,Os,S,V,D
0,361.6537537968799,55.91453631030834,417.56829010718826,0.9480490864004871,"[1, 1, 0, 0, 0, 0, 0]"
1,279.3888203697587,11.337352124438112,290.7261724941968,0.05865797422593644,"[0, 1, 1, 0, 0, 0, 0]"
2,115.44643435794102,34.711272274766614,150.15770663270763,0.44405674425260844,"[0, 0, 1, 1, 0, 0, 0]"
3,86.41794574394943,32.969082667159874,119.3870284111093,0.15811456049466943,"[0, 0, 0, 1, 1, 0, 0]"
4,85.08258967032388,14.035030763741915,99.1176204340658,0.19549545909420418,"[0, 0, 0, 0, 1, 1, 0]"
5,45.881455157281245,5.012276184264177,50.89373134154542,0.6351986698133921,"[0, 0, 0, 0, 0, 1, 1]"
6,1,19.40432871015253,20.40432871015253,0.09506694648535036,"[1, 0, 0, 0, 1, 1, 0]"
7,348.886553027342,28.446906075916537,377.3334591032586,0.04338143689062185,"[0, 1, 1, 1, 0, 0, 1]"
8,196.04485191119284,79.27861608650517,275.323467997698,0.2792181384823089,"[0, 0, 1, 1, 0, 1, 1]"
9,8.14887782061814,7.377425640803962,15.526303461422101,0.7316127188934269,"[0, 1, 1, 1, 0, 0, 0]"
10,0,1,1,0.013295611659300433,"[0, 0, 0, 0, 0, 0, 0]"
11,781.7832372163601,108.28326085534462,890.0664980717047,0.2034180601532468,"[1, 0, 1, 0, 1, 0, 1]"
12,0,1,1,0.09591334634381599,"[1, 1, 0, 1, 1, 1, 0]"
13,1263.2761937491027,251.75200349967434,1515.0281972487771,0.5071207635780526,"[1, 0, 1, 1, 1, 0, 1]"
14,864.539928121429,58.92226399831233,923.4621921197414,0.04799112873187675,"[0, 1, 0, 1, 1, 1, 1]"
15,0,6,6,0.4530418835818526,"[0, 0, 1, 1, 0, 1, 0]"
16,388.42556400632895,21.63579786850448,410.06136187483344,0.04970980099908276,"[0, 1, 1, 1, 0, 1, 0]"
17,0,1,1,0.049031657081182844,"[1, 0, 1, 0, 0, 1, 0]"
18,0,4,4,0.14360974971146517,"[0, 0, 0, 1, 1, 1, 1]"
19,1,2,3,0.36298435506295124,"[0, 0, 0, 0, 0, 0, 0]"
20,35.89132262680834,2,37.89132262680834,0.5235196907094288,"[0, 0, 0, 0, 1, 1, 0]"
21,786.7480783831402,302.7688186335868,1089.516897016727,0.2981259180268412,"[0, 1, 1, 1, 1, 0, 1]"
22,0,1,1,0.054695142784793094,"[0, 1, 0, 1, 0, 1, 0]"
23,15.889577337313316,30.075078586428226,45.964655923741546,0.525807408022771,"[0, 0, 1, 0, 1, 0, 0]"
24,0,6,6,0.17891090112301897,"[0, 1, 0, 0, 0, 0, 1]"
25,0,2,2,0.0683846772770213,"[1, 0, 0, 0, 0, 1, 1]"
26,0,2,2,0.030424589638523597,"[1, 0, 1, 0, 1, 0, 0]"
27,0,5,5,0.09800085573378056,"[1, 1, 0, 1, 1, 0, 1]"
28,28.56292288723357,57.80647512966587,86.36939801689944,0.11387956259247706,"[0, 1, 1, 1, 0, 0, 1]"
29,0,2,2,0.1386060240335209,"[1, 1, 0, 1, 1, 0, 0]"
30,1452.5797736941317,348.35553111810253,1800.9353048122343,0.4424483544026854,"[1, 1, 0, 1, 1, 1, 1]"
31,78.46310402679646,29.77378938937809,108.23689341617455,0.5446925732015881,"[0, 1, 1, 1, 0, 0, 1]"
32,0,1,1,0.015914560495333935,"[0, 1, 1, 0, 0, 0, 1]"
33,0,1,1,0.023060161154322162,"[0, 1, 1, 0, 1, 1, 0]"
34,279.91126973704377,117.71832392893408,397.62959366597784,0.5810972347498655,"[1, 1, 1, 1, 1, 1, 0]"
35,0,2,2,0.09828257381955124,"[1, 0, 1, 1, 0, 0, 0]"
36,0,4,4,0.01748507294857371,"[1, 0, 0, 1, 0, 0, 0]"
37,0,3,3,0.08203603847988694,"[0, 1, 1, 0, 0, 1, 0]"
38,0,3,3,0.044874111805814076,"[0, 1, 1, 1, 0, 0, 0]"
39,0,1,1,0.09798907253102807,"[1, 1, 0, 1, 1, 0, 0]"
40,0,1,1,0.0837986982780149,"[1, 0, 0, 0, 0, 0, 1]"
41,18.852807678187187,4,22.852807678187187,0.20628164086758635,"[1, 1, 0, 1, 0, 0, 1]"
42,117.36821896118389,80.06815711702075,197.43637607820463,0.5403559778156286,"[1, 0, 1, 0, 0, 1, 0]"
43,0,1,1,0.32918655730744306,"[0, 1, 1, 0, 0, 0, 0]"
44,0,3,3,0.42989427874014796,"[1, 0, 1, 0, 1, 0, 0]"
45,33.1409896245939,7.842067184817127,40.983056809411025,0.25541362681312485,"[0, 1, 0, 1, 0, 1, 1]"
46,60.132587248376005,7.413228295976548,67.54581554435255,0.09593383354747304,"[1, 1, 0, 1, 0, 0, 1]"
47,2,4,6,0.39740414477100905,"[0, 1, 0, 1, 1, 0, 1]"
48,3,21.962255190462262,24.962255190462262,0.5739108878701982,"[1, 1, 1, 1, 0, 0, 1]"
49,47.57995732602946,34.32624385932172,81.90620118535118,0.5486492351167294,"[0, 0, 1, 1, 0, 1, 0]"
50,21.160933345640736,12.847989549612029,34.008922895252766,0.495342720793147,"[0, 1, 0, 0, 1, 1, 0]"
51,21.69983097498021,12.885371842757255,34.58520281773747,0.3908275217552486,"[1, 1, 0, 0, 1, 0, 0]"
52,0,1,1,0.035545780853857234,"[0, 1, 0, 1, 0, 1, 1]"
53,224.48007231115483,94.78961262942221,319.269684940577,0.44586943586088934,"[0, 1, 0, 1, 0, 1, 1]"
54,0,2,2,0.5398609781347319,"[0, 1, 0, 0, 1, 1, 1]"
55,18.446682893496448,7.855062254708546,26.301745148204994,0.3815667412196698,"[0, 0, 0, 1, 1, 0, 1]"
56,0,2,2,0.14571424592647902,"[1, 1, 1, 0, 1, 0, 0]"
57,0,1,1,0.06153958262323786,"[1, 0, 1, 0, 0, 1, 1]"
58,25,4.274709228318413,29.274709228318414,0.08878636271772142,"[1, 1, 1, 0, 1, 0, 1]"
59,0,2,2,0.08859592438187819,"[1, 1, 1, 0, 0, 0, 1]"
60,1,4,5,0.4793843300416085,"[0, 0, 0, 0, 0, 0, 0]"
61,0,1,1,0.06770015562516607,"[1, 0, 0, 1, 1, 1, 0]"
62,90.12010530590213,21.645018472836675,111.7651237787388,0.5055319143077772,"[1, 1, 0, 1, 0, 1, 0]"
63,0,1,1,0.004892146156476429,"[1, 0, 1, 0, 0, 0, 0]"
64,2.097836281341775,12.366721969051788,14.464558250393562,0.42988512374444743,"[1, 0, 1, 1, 0, 0, 0]"
65,13.060395768462794,3.3675512789970377,16.42794704745983,0.14535408880574424,"[1, 0, 0, 1, 1, 1, 0]"
66,45.29116527464593,17.750565214909116,63.04173048955504,0.30540782336392147,"[1, 1, 1, 0, 0, 0, 1]"
67,0,2,2,0.09046816491620696,"[1, 0, 1, 1, 1, 0, 0]"
68,7.509395739391762,11,18.509395739391763,0.09013699771498479,"[0, 1, 0, 1, 1, 0, 0]"
69,0,1,1,0.04028312889209246,"[0, 0, 1, 1, 0, 1, 0]"
70,0,2,2,0.061105218856768506,"[1, 0, 0, 0, 0, 1, 1]"
71,21.386679442820448,13.28878445819085,34.6754639010113,0.5425945523609951,"[0, 0, 1, 0, 0, 0, 1]"
72,0,2,2,0.0872027384912239,"[1, 1, 0, 0, 0, 0, 1]"
73,2,2,4,0.396691117552299,"[0, 0, 0, 0, 0, 0, 1]"
74,30.408785176598197,8.808175069377828,39.216960245976026,0.27937393050329107,"[1, 0, 1, 0, 1, 1, 1]"
75,0,1,1,0.38845062372429806,"[0, 1, 0, 0, 0, 1, 0]"
76,0,1,1,0.03054231485993794,"[1, 0, 0, 0, 0, 0, 1]"
77,0,1,1,0.06430108537075752,"[1, 1, 1, 0, 1, 0, 1]"
78,0,1,1,0.05619228088138006,"[1, 0, 1, 0, 0, 1, 1]"
79,1,4,5,0.1522083476826331,"[1, 1, 0, 1, 0, 0, 0]"
80,0,1,1,0.033228023790600664,"[1, 0, 0, 1, 0, 1, 1]"
81,0,1,1,0.04834320794096658,"[0, 1, 0, 1, 1, 0, 1]"
82,84.38514301910479,22.443790414928337,106.82893343403313,0.49617291036702704,"[0, 1, 0, 1, 1, 0, 1]"
83,0,1,1,0.06396055730774614,"[0, 0, 1, 0, 1, 0, 1]"
84,0,1,1,0.04769006908590928,"[0, 0, 0, 1, 1, 0, 1]"
85,0,4,4,0.425610329654197,"[0, 1, 0, 1, 0, 1, 0]"
86,1183.2558482266365,359.74948044580316,1543.0053286724396,0.265048149168004,"[0, 1, 1, 1, 1, 1, 1]"
87,0,1,1,0.025392676783007634,"[1, 0, 1, 0, 1, 0, 0]"
88,0,1,1,0.06452954804058547,"[0, 1, 1, 1, 0, 0, 0]"
89,12.315899703338104,4.46911669811559,16.785016401453696,0.09575565899210264,"[0, 0, 0, 1, 1, 0, 1]"
90,0,6,6,0.042151934580661216,"[0, 1, 1, 0, 1, 0, 1]"
91,12.188399383536712,7.406559600850405,19.594958984387116,0.2842213260817916,"[0, 1, 1, 0, 1, 1, 0]"
92,2,2.1119142496618837,4.111914249661884,0.14388590529726536,"[1, 0, 0, 1, 0, 0, 0]"
