from,to,w
0,1,3.356241069630421
1,0,8.49879163663511
1,2,5.494314731893384
1,703,1
1,842,1
1,917,1
1,1284,1
1,1530,1
1,1923,1
1,1939,1
1,2225,1
1,2544,1
1,2755,1
1,2781,1
1,4525,1
2,1,7.147995134528645
2,3,6.915417068546569
2,307,1
2,431,2.881847729602413
2,2031,1
2,2169,1
2,3171,1
2,3413,1
2,4210,1
2,4398,1
2,4762,1
2,4938,1
3,2,6.279878716424607
3,4,5.70348672716127
3,291,1
3,307,1
3,1530,1
3,1923,1
3,1939,1
3,2139,1
3,2225,1
3,2755,1
3,3146,1
3,3505,1
4,3,4.825915374194338
4,5,3.137121699184514
4,626,1
4,842,1
4,917,1
4,1723,1
4,2225,1
4,2547,1
4,2755,1
4,3371,1
4,4408,1
5,4,3.759667468220892
5,6,2.683075187380113
5,343,1.5517979701205054
5,3171,1
6,5,2.1387579453246537
6,7,1
6,315,1.5456965705280012
6,424,1.3324661117026673
6,842,1
6,1815,1
6,3171,1
6,3182,1
6,3287,1
6,4550,1
7,6,1
7,8,1.3065337753348025
8,7,1.055689581548228
8,9,1
8,315,1.0457920214450134
9,8,1
9,10,1.9601710528653713
9,286,3.235712129421924
10,9,2.1039780243987884
10,11,3.207543158069498
10,518,2.335564942555017
10,577,2.4762736581874423
10,712,1
10,993,1
10,3211,1
11,10,2.6672296106737243
11,12,3.0686061664767212
11,315,1.6332255489720828
11,391,1
11,807,1
11,1117,1.3360148477230311
11,1455,1
11,1936,1
11,2142,1
12,11,1.116160471816295
12,13,1.0960824106531264
13,12,1.893501480072508
13,14,1.2361786920442555
14,13,1.243628887954502
14,15,1
15,14,1
15,16,1.4185864128805274
15,229,1
16,15,1.3085331292203566
16,17,2.009218411328593
17,16,2.2898372903848188
17,18,1.4119574969530329
18,17,1.0422160587180311
18,19,1
18,1716,1
18,1722,1
19,18,1
19,20,1.8270875498204857
19,828,1.347427711261683
20,19,1.6563324697331974
20,21,1
21,20,1
21,22,1
22,21,1
22,23,2.2214310722750756
23,22,1.5489323989671457
23,24,1.473583036351396
24,23,1.0831773023349252
24,25,1
25,24,1
25,26,1.2263502867665297
25,890,1
25,2302,1
25,2485,1
25,3154,1
26,25,1.6731130634072642
26,27,1.5745880514717006
27,26,1.620216053047467
27,28,1
28,27,1
28,29,1
29,28,1
29,30,1
29,431,1
29,1836,1.3772809872464473
30,29,1
30,31,1.302931259312417
31,30,1.3493350680340952
31,32,1.6982632979862191
31,666,1.771422239459162
31,826,1
31,1019,1
31,1419,1
32,31,1.576922253810478
32,33,1
33,32,1
33,34,1
34,33,1
34,35,1
35,34,1
35,36,1.2038187457418974
36,35,1.2975227124596593
36,37,1
37,36,1
37,38,1
37,967,1
38,37,1
38,39,1.012243155519177
39,38,1.7299964714913916
39,40,1.5802677818903819
39,501,1
40,39,1.5760659957001906
40,41,1
40,296,1
41,40,1
41,42,1.3735542161020189
41,289,1.8834300353030442
42,41,1.2187849692295365
42,43,1.7099328891064445
42,289,2.445375911299823
42,651,1.2721586176934574
43,42,2.306033106580787
43,44,1.8811265722865431
43,216,1.391759365974387
43,294,1
43,306,8.246705829648231
43,1521,1
44,43,1.1649525358213968
44,45,1.1988921710407956
44,428,1.095123459629768
45,44,2.193994036576831
45,46,1
45,233,1.5397661493728716
45,1011,1
46,45,1
46,47,1.2209707328758825
47,46,2.0983702808259466
47,48,1
47,222,4.294295079940674
47,763,1.340423516850492
48,47,1
48,49,1.4925241437193535
48,1247,1
49,48,1.1856825133774076
49,50,1.290881458430189
49,265,1
49,319,1
49,902,1.3035327144869822
49,1137,1
49,2110,1
50,49,1.8989978817830777
50,51,1.3405879564238559
50,260,1.649040138324918
50,270,1.2713110137274037
50,319,1.412205635384633
50,321,1
50,331,1.687561237642555
50,368,1
50,411,1
50,482,1
50,1020,1
50,1782,1
50,2158,1
51,50,1.3625740713657533
51,52,3.6340929419084786
51,222,3.730634094844102
51,406,1
51,639,1
51,883,1
51,1224,1
51,1376,1
51,1855,1
51,2233,1
52,51,1.6465814260194072
52,53,1.241911524153104
53,52,1.1678635678777094
53,54,1.4377536403665647
53,222,1.6687946293706695
53,931,1
53,1239,1
53,2206,1
53,3523,1
53,4567,1
54,53,2.110672203803401
54,55,1.3930741570892302
55,54,1.2778735708849482
55,56,1
56,55,1
56,57,1
56,301,1
56,318,1
56,406,1
57,56,1
57,58,2.0366555931064267
57,4909,1
58,57,1.119302976137553
58,59,1.0558234532930855
58,318,1
59,58,1.167770346712314
59,60,1.2251086261925532
60,59,2.2652520198354624
60,61,1
60,251,1.4528042376529853
60,301,1
60,427,1
60,962,1
61,60,1
61,62,1.5853655117054837
61,301,1
61,706,1
62,61,1.8065154835853807
62,63,1.4697897744101833
62,2493,1
63,62,1.4912966078620444
63,64,1
64,63,1
64,65,1.6407544246586578
65,64,1.4478121395880883
65,66,1.8041443699594684
66,65,1.8267863142362744
66,67,1.4525547165870625
66,580,1
66,588,1.3090671378511978
66,627,1
67,66,1.4117437952344432
67,68,1.7533411324485257
67,2536,1
68,67,1.2982435891305464
68,69,1.0988729701881699
68,231,1.1339224665906567
68,350,1
68,883,1
68,1161,1
68,3029,1
68,4474,1
69,68,1.385414289580369
69,70,1
69,202,1
70,69,1
70,71,1
71,70,1
71,72,1.1968951255612854
72,71,1.082713409111776
72,73,1
73,72,1
73,74,1
73,497,1
74,73,1
74,75,1
75,74,1
75,76,1
76,75,1
76,77,3.1603958819129865
77,76,3.937862323214597
77,78,1
78,77,1
78,79,1
79,78,1
79,80,1
80,79,1
80,81,1.6421385272425155
80,396,1
81,80,1.565213315684052
81,82,2.403047934639818
81,509,1
81,2120,1
82,81,1.0290414118737126
82,83,1.0309385132417346
82,1112,1
83,82,1.6119289330451152
83,84,1.259088219630415
84,83,1.541276956316909
84,85,1.45442682455247
84,421,1.8885316855127203
85,84,1.0592813582734906
85,86,1
86,85,1
86,87,1
87,86,1
87,88,1
87,436,1
87,531,1
87,537,1
87,629,1
88,87,1
88,89,1
88,248,1
88,452,1
89,88,1
89,90,1.0747417043334047
89,230,1.096873080265551
90,89,1.429674213411901
90,91,2.1085374264688745
90,1350,1
91,90,1.0587452929830687
91,92,1.1223189668120035
92,91,2.841678191822612
92,93,1
92,279,1
92,299,1
93,92,1
93,94,1
93,221,1.4650260007903273
93,297,2.016401301397811
93,308,4.591823148498788
93,739,1
93,798,1
93,877,1
93,1579,1
94,93,1
94,95,2.163981909996937
94,308,2.4622546497967246
94,739,1
94,4879,1
95,94,1.0971501068051606
95,96,1
96,95,1
96,97,1
96,903,1.3785169093231506
97,96,1
97,98,1
98,97,1
98,99,2.3066288583082866
99,98,1.1054992829695842
99,100,1
100,99,1
100,101,2.3687695672455273
100,467,1
101,100,2.3830642767219077
101,102,2.382941864602113
102,101,1.0728909074450976
102,103,1
103,102,1
103,104,1
104,103,1
104,105,1
105,104,1
105,106,1
106,105,1
106,107,1.6616639552722123
107,106,1.1120916902048712
107,108,1
108,107,1
108,109,1
108,201,1
108,228,1
108,2318,1
109,108,1
109,110,1.010646316353329
110,109,1.4933993599180657
110,111,1
111,110,1
111,112,1
111,232,1
112,111,1
112,113,1.2065703122003248
112,443,1
112,450,1.07824423291838
112,631,1
112,2523,1
113,112,1.592893303697453
113,114,1.2981933769425167
113,232,1
113,346,1
113,1222,1
113,1249,1
114,113,1.2091651140546538
114,115,2.9184801278928707
115,114,1.0478662066029583
115,116,1
115,945,1
116,115,1
116,117,1
116,231,1
116,969,1
117,116,1
117,118,1
118,117,1
118,119,1
119,118,1
119,120,1.4570130357323758
120,119,1.6445537010445632
120,121,4.229418294860597
121,120,1.8583217722111018
121,122,1.1693182356615712
122,121,1.5007863573363074
122,123,2.499399387233797
122,526,1
122,1390,1
